"Time","TM.RADFET2_V3"
2025-01-16 08:00:00,185
2025-01-16 08:05:00,152
2025-01-16 08:10:00,169
2025-01-16 08:15:00,202
2025-01-16 08:20:00,176
2025-01-16 08:25:00,149
2025-01-16 08:30:00,188
2025-01-16 08:35:00,201
2025-01-16 08:40:00,189
2025-01-16 08:45:00,159
2025-01-16 08:50:00,198
2025-01-16 08:55:00,178
2025-01-16 09:00:00,188
2025-01-16 09:05:00,129
2025-01-16 09:10:00,184
2025-01-16 09:15:00,193
2025-01-16 09:20:00,123
2025-01-16 09:25:00,133
2025-01-16 09:30:00,125
2025-01-16 09:35:00,181
2025-01-16 09:40:00,106
2025-01-16 09:45:00,134
2025-01-16 09:50:00,130
2025-01-16 09:55:00,183
2025-01-16 10:00:00,174
2025-01-16 10:05:00,148
2025-01-16 10:10:00,126
2025-01-16 10:15:00,104
2025-01-16 10:20:00,119
2025-01-16 10:25:00,162
2025-01-16 10:30:00,143
2025-01-16 10:35:00,158
2025-01-16 10:40:00,93
2025-01-16 10:45:00,144
2025-01-16 10:50:00,0
2025-01-16 10:55:00,78
2025-01-16 11:00:00,155
2025-01-16 11:05:00,126
2025-01-16 11:10:00,111
2025-01-16 11:15:00,98
2025-01-16 11:20:00,139
2025-01-16 11:25:00,111
2025-01-16 11:30:00,93
2025-01-16 11:35:00,76
2025-01-16 11:40:00,124
2025-01-16 11:45:00,111
2025-01-16 11:50:00,83
2025-01-16 11:55:00,116
2025-01-16 12:00:00,78
2025-01-16 12:05:00,92
2025-01-16 12:10:00,94
2025-01-16 12:15:00,131
2025-01-16 12:20:00,85
2025-01-16 12:25:00,115
2025-01-16 12:30:00,118
2025-01-16 12:35:00,134
2025-01-16 12:40:00,86
2025-01-16 12:45:00,75
2025-01-16 12:50:00,83
2025-01-16 12:55:00,56
2025-01-16 13:00:00,84
2025-01-16 13:05:00,73
2025-01-16 13:10:00,84
2025-01-16 13:15:00,88
2025-01-16 13:20:00,35
2025-01-16 13:25:00,86
2025-01-16 13:30:00,147
2025-01-16 13:35:00,71
2025-01-16 13:40:00,80
2025-01-16 13:45:00,46
2025-01-16 13:50:00,56
2025-01-16 13:55:00,86
2025-01-16 14:00:00,1
2025-01-16 14:05:00,23
2025-01-16 14:10:00,96
2025-01-16 14:15:00,110
2025-01-16 14:20:00,205
2025-01-16 14:25:00,28
2025-01-16 14:30:00,0
2025-01-16 14:35:00,19
2025-01-16 14:40:00,46
2025-01-16 14:45:00,34
2025-01-16 14:50:00,23
2025-01-16 14:55:00,49
2025-01-16 15:00:00,73
2025-01-16 15:05:00,48
2025-01-16 15:10:00,116
2025-01-16 15:15:00,66
2025-01-16 15:20:00,0
2025-01-16 15:25:00,46
2025-01-16 15:30:00,9
2025-01-16 15:35:00,13
2025-01-16 15:40:00,84
2025-01-16 15:45:00,84
2025-01-16 15:50:00,16
2025-01-16 15:55:00,240
2025-01-16 16:00:00,1
2025-01-16 16:05:00,239
2025-01-16 16:10:00,8
2025-01-16 16:15:00,11
2025-01-16 16:20:00,1
2025-01-16 16:25:00,254
2025-01-16 16:30:00,20
2025-01-16 16:35:00,197
2025-01-16 16:40:00,8
2025-01-16 16:45:00,220
2025-01-16 16:50:00,0
2025-01-16 16:55:00,230
2025-01-16 17:00:00,225
2025-01-16 17:05:00,247
2025-01-16 17:10:00,222
2025-01-16 17:15:00,237
2025-01-16 17:20:00,253
2025-01-16 17:25:00,244
2025-01-16 17:30:00,235
2025-01-16 17:35:00,216
2025-01-16 17:40:00,224
2025-01-16 17:45:00,205
2025-01-16 17:50:00,
2025-01-16 17:55:00,
2025-01-16 18:00:00,
2025-01-16 18:05:00,
2025-01-16 18:10:00,
2025-01-16 18:15:00,
2025-01-16 18:20:00,
2025-01-16 18:25:00,
2025-01-16 18:30:00,
2025-01-16 18:35:00,
2025-01-16 18:40:00,
2025-01-16 18:45:00,
2025-01-16 18:50:00,
2025-01-16 18:55:00,
2025-01-16 19:00:00,
2025-01-16 19:05:00,
2025-01-16 19:10:00,
2025-01-16 19:15:00,
2025-01-16 19:20:00,
2025-01-16 19:25:00,
2025-01-16 19:30:00,
2025-01-16 19:35:00,
2025-01-16 19:40:00,
2025-01-16 19:45:00,
2025-01-16 19:50:00,
2025-01-16 19:55:00,
2025-01-16 20:00:00,
2025-01-16 20:05:00,
2025-01-16 20:10:00,
2025-01-16 20:15:00,
2025-01-16 20:20:00,
2025-01-16 20:25:00,
2025-01-16 20:30:00,
2025-01-16 20:35:00,
2025-01-16 20:40:00,
2025-01-16 20:45:00,
2025-01-16 20:50:00,
2025-01-16 20:55:00,
2025-01-16 21:00:00,
2025-01-16 21:05:00,
2025-01-16 21:10:00,
2025-01-16 21:15:00,
2025-01-16 21:20:00,
2025-01-16 21:25:00,
