Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="13:33:26.788.760.340 0 (Apr-15-2024)",="Tx",="11 00 2A 35 00 35 10 00 ",="..* 5.5..",="",="",=""
="13:33:26.788.846.480 086.140us",="Tx",="00 00 00 9E 05 FF 00 00 ",="........",="",="",=""
="13:33:26.788.932.640 086.160us",="Tx",="EA 60 00 0C 00 01 00 00 ",=".`......",="",="",=""
="13:33:26.789.018.780 086.140us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:33:26.789.104.880 086.100us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:33:26.789.191.000 086.120us",="Tx",="00 00 01 1A 19 F1 D3 ",=".......",="",="",=""
="13:33:56.554.523.980 029.765s",="Tx",="11 00 2A 54 00 54 10 00 ",="..* T.T..",="",="",=""
="13:33:56.554.610.040 086.060us",="Tx",="00 00 00 9F 05 FF 00 00 ",="........",="",="",=""
="13:33:56.554.696.080 086.040us",="Tx",="EA 60 00 0C 00 02 00 04 ",=".`......",="",="",=""
="13:33:56.554.782.080 086.000us",="Tx",="13 F0 FF FF FF 27 AF 9A ",=".....''..",="",="",=""
="13:33:56.554.868.120 086.040us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:33:56.554.954.200 086.080us",="Tx",="00 01 01 1A 19 7D 84 ",=".....}.",="",="",=""
="13:34:26.323.047.920 029.768s",="Tx",="11 00 2A 73 00 73 10 00 ",="..* s.s..",="",="",=""
="13:34:26.323.133.940 086.020us",="Tx",="00 00 00 A0 05 FF 00 00 ",="........",="",="",=""
="13:34:26.323.219.980 086.040us (Apr-15-2024)",="Tx",="EA 60 00 0C 00 02 00 04 ",=".`......",="",="",=""
="13:34:26.323.305.960 085.980us",="Tx",="13 F0 FF FF FF 27 AF 9A ",=".....''..",="",="",=""
="13:34:26.323.391.960 086.000us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:34:26.323.478.020 086.060us",="Tx",="00 01 01 1A 19 4A 3B ",=".....J;",="",="",=""
="13:34:56.097.200.760 029.773s",="Tx",="11 00 2A 92 00 92 10 00 ",="..* .....",="",="",=""
="13:34:56.097.286.860 086.100us",="Tx",="00 00 00 A1 05 FF 00 00 ",="........",="",="",=""
="13:34:56.097.372.940 086.080us",="Tx",="EA 60 00 0C 00 03 00 04 ",=".`......",="",="",=""
="13:34:56.097.459.000 086.060us",="Tx",="14 2A 27 8A 54 27 AF AE ",=".* ''.T''..",="",="",=""
="13:34:56.097.545.080 086.080us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:34:56.097.631.200 086.120us",="Tx",="00 00 01 1A 19 84 E8 ",=".......",="",="",=""
="13:35:25.873.026.660 029.775s",="Tx",="11 00 2A B1 00 B1 10 00 ",="..* .....",="",="",=""
="13:35:25.873.112.700 086.040us",="Tx",="00 00 00 A2 05 FF 00 00 ",="........",="",="",=""
="13:35:25.873.198.740 086.040us",="Tx",="EA 60 00 0C 00 03 00 04 ",=".`......",="",="",=""
="13:35:25.873.284.760 086.020us",="Tx",="14 2A 27 8A 54 27 AF AE ",=".* ''.T''..",="",="",=""
="13:35:25.873.370.800 086.040us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:35:25.873.456.900 086.100us",="Tx",="00 00 01 1A 19 16 7A ",="......z",="",="",=""
="13:35:55.642.219.140 029.768s",="Tx",="11 00 2A D0 00 D0 10 00 ",="..* .....",="",="",=""
="13:35:55.642.305.200 086.060us (Apr-15-2024)",="Tx",="00 00 00 A3 05 FF 00 00 ",="........",="",="",=""
="13:35:55.642.391.220 086.020us",="Tx",="EA 60 00 0C 00 04 00 04 ",=".`......",="",="",=""
="13:35:55.642.477.280 086.060us",="Tx",="14 65 27 8A 32 27 AF 9A ",=".e''.2''..",="",="",=""
