Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:26:35.316.271.180 085.940us",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="23:26:35.316.357.060 085.880us",="Tx",="00 00 27 8D 25 27 B2 9F ",="..''.%''..",="",="",=""
="23:26:35.316.442.980 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:26:35.316.529.020 086.040us",="Tx",="00 00 00 17 16 8E C3 ",=".......",="",="",=""
="23:27:05.746.654.620 004.847ms",="Tx",="11 00 2A 0B 00 0B 11 FF ",="..* .....",="",="",=""
="23:27:05.746.740.520 085.900us",="Tx",="00 00 00 0B 01 FF 00 00 ",="........",="",="",=""
="23:27:05.746.826.400 085.880us",="Tx",="EA 60 00 00 00 05 00 00 ",=".`......",="",="",=""
="23:27:05.746.912.240 085.840us",="Tx",="00 00 27 8D 3F 27 B2 40 ",="..''.?''.@",="",="",=""
="23:27:05.746.998.100 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:27:05.747.084.080 085.980us",="Tx",="00 00 00 17 16 94 1C ",=".......",="",="",=""
="23:27:36.176.366.800 004.109ms",="Tx",="11 00 2A 0C 00 0C 11 FF ",="..* .....",="",="",=""
="23:27:36.176.452.740 085.940us (Feb-03-2024)",="Tx",="00 00 00 0C 01 FF 00 00 ",="........",="",="",=""
="23:27:36.176.538.640 085.900us",="Tx",="EA 60 00 00 00 05 00 00 ",=".`......",="",="",=""
="23:27:36.176.624.500 085.860us",="Tx",="00 00 27 8D 3F 27 B2 40 ",="..''.?''.@",="",="",=""
="23:27:36.176.710.360 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:27:36.176.796.360 086.000us",="Tx",="00 00 00 17 16 A9 C1 ",=".......",="",="",=""
="23:28:06.603.916.960 004.524ms",="Tx",="11 00 2A 0D 00 0D 11 FF ",="..* .....",="",="",=""
="23:28:06.604.002.900 085.940us",="Tx",="00 00 00 0D 01 FF 00 00 ",="........",="",="",=""
="23:28:06.604.088.800 085.900us",="Tx",="EA 60 00 00 00 06 00 00 ",=".`......",="",="",=""
="23:28:06.604.174.680 085.880us",="Tx",="00 00 27 8D 4E 27 B2 73 ",="..''.N''.s",="",="",=""
="23:28:06.604.260.580 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:28:06.604.346.580 086.000us",="Tx",="00 00 00 17 16 D8 E8 ",=".......",="",="",=""
="23:28:37.031.457.620 005.480ms",="Tx",="11 00 2A 0E 00 0E 11 FF ",="..* .....",="",="",=""
="23:28:37.031.543.580 085.960us",="Tx",="00 00 00 0E 01 FF 00 00 ",="........",="",="",=""
="23:28:37.031.629.540 085.960us",="Tx",="EA 60 00 00 00 06 00 00 ",=".`......",="",="",=""
="23:28:37.031.715.420 085.880us",="Tx",="00 00 27 8D 4E 27 B2 73 ",="..''.N''.s",="",="",=""
="23:28:37.031.801.340 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:28:37.031.887.440 086.100us",="Tx",="00 00 00 17 16 14 3F ",="......?",="",="",=""
="23:29:07.459.876.080 005.901ms",="Tx",="11 00 2A 0F 00 0F 11 FF ",="..* .....",="",="",=""
="23:29:07.459.962.040 085.960us",="Tx",="00 00 00 0F 01 FF 00 00 ",="........",="",="",=""
="23:29:07.460.047.940 085.900us",="Tx",="EA 60 00 00 00 07 00 00 ",=".`......",="",="",=""
="23:29:07.460.133.800 085.860us",="Tx",="00 00 27 8D 6F 27 B2 98 ",="..''.o''..",="",="",=""
="23:29:07.460.219.700 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:29:07.460.305.740 086.040us",="Tx",="00 00 00 17 16 3C 48 ",=".....<H",="",="",=""
="23:29:37.890.722.000 006.225ms",="Tx",="11 00 2A 10 00 10 11 FF ",="..* .....",="",="",=""
="23:29:37.890.807.920 085.920us",="Tx",="00 00 00 10 01 FF 00 00 ",="........",="",="",=""
="23:29:37.890.893.820 085.900us",="Tx",="EA 60 00 00 00 08 00 00 ",=".`......",="",="",=""
="23:29:37.890.979.680 085.860us",="Tx",="00 00 27 8D AA 27 B2 B0 ",="..''..''..",="",="",=""
="23:29:37.891.065.540 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:29:37.891.151.560 086.020us",="Tx",="00 00 00 17 16 87 19 ",=".......",="",="",=""
="23:30:08.324.476.500 005.516ms",="Tx",="11 00 2A 11 00 11 11 FF ",="..* .....",="",="",=""
="23:30:08.324.562.440 085.940us",="Tx",="00 00 00 11 01 FF 00 00 ",="........",="",="",=""
="23:30:08.324.648.360 085.920us",="Tx",="EA 60 00 00 00 08 00 00 ",=".`......",="",="",=""
="23:30:08.324.734.240 085.880us",="Tx",="00 00 27 8D AA 27 B2 B0 ",="..''..''..",="",="",=""
="23:30:08.324.820.140 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:30:08.324.906.120 085.980us (Feb-03-2024)",="Tx",="00 00 00 17 16 33 4B ",=".....3K",="",="",=""
="23:30:38.758.554.240 004.029ms",="Tx",="11 00 2A 12 00 12 11 FF ",="..* .....",="",="",=""
="23:30:38.758.640.180 085.940us",="Tx",="00 00 00 12 01 FF 00 00 ",="........",="",="",=""
="23:30:38.758.726.100 085.920us",="Tx",="EA 60 00 00 00 09 00 00 ",=".`......",="",="",=""
="23:30:38.758.811.960 085.860us",="Tx",="00 00 27 8D 66 27 B2 E2 ",="..''.f''..",="",="",=""
="23:30:38.758.897.860 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="23:30:38.758.983.860 086.000us",="Tx",="00 00 00 17 16 9F 81 ",=".......",="",="",=""
="23:31:09.191.345.860 005.651ms",="Tx",="11 00 2A 13 00 13 11 FF ",="..* .....",="",="",=""
="23:31:09.191.431.840 085.980us",="Tx",="00 00 00 13 01 FF 00 00 ",="........",="",="",=""
="23:31:09.191.517.720 085.880us",="Tx",="EA 60 00 00 00 09 00 00 ",=".`......",="",="",=""
