Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="14:17:59.491.941.100 0 (Apr-08-2024)",="Tx",="11 00 2A 02 00 02 10 87 ",="..* .....",="",="",=""
="14:17:59.492.026.980 085.880us",="Tx",="18 9D 82 E3 6E FF 00 00 ",="....n...",="",="",=""
="14:17:59.492.112.860 085.880us",="Tx",="EA 60 80 27 C0 39 00 00 ",=".`.''.9..",="",="",=""
="14:17:59.492.198.680 085.820us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:17:59.492.284.540 085.860us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:17:59.492.370.420 085.880us",="Tx",="00 00 BD 17 17 06 04 ",=".......",="",="",=""
="14:18:29.226.704.540 029.734s",="Tx",="11 00 2A 21 00 21 10 87 ",="..* !.!..",="",="",=""
="14:18:29.226.790.500 085.960us",="Tx",="18 9D 82 E4 6E FF 00 00 ",="....n...",="",="",=""
="14:18:29.226.876.460 085.960us",="Tx",="EA 60 80 27 C0 39 00 00 ",=".`.''.9..",="",="",=""
="14:18:29.226.962.400 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:18:29.227.048.340 085.940us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:18:29.227.134.340 086.000us",="Tx",="00 00 BD 17 17 C4 40 ",="......@",="",="",=""
="14:18:58.968.409.100 029.741s",="Tx",="11 00 2A 40 00 40 10 87 ",="..* @.@..",="",="",=""
="14:18:58.968.495.040 085.940us",="Tx",="18 9D 82 E5 6E FF 00 00 ",="....n...",="",="",=""
="14:18:58.968.580.980 085.940us (Apr-08-2024)",="Tx",="EA 60 80 27 C0 3A 00 00 ",=".`.''.:..",="",="",=""
="14:18:58.968.666.880 085.900us",="Tx",="00 38 FF FF FF 27 B2 A3 ",=".8...''..",="",="",=""
="14:18:58.968.752.800 085.920us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:18:58.968.838.740 085.940us",="Tx",="00 01 BD 17 17 F2 3C ",="......<",="",="",=""
="14:19:28.715.273.040 029.746s",="Tx",="11 00 2A 5F 00 5F 10 87 ",="..* _._..",="",="",=""
="14:19:28.715.359.020 085.980us",="Tx",="18 9D 82 E6 6E FF 00 00 ",="....n...",="",="",=""
="14:19:28.715.445.020 086.000us",="Tx",="EA 60 80 27 C0 3A 00 00 ",=".`.''.:..",="",="",=""
="14:19:28.715.530.960 085.940us",="Tx",="00 38 FF FF FF 27 B2 A3 ",=".8...''..",="",="",=""
="14:19:28.715.616.920 085.960us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:19:28.715.702.920 086.000us",="Tx",="00 01 BD 17 17 6B 9C ",=".....k.",="",="",=""
="14:19:58.460.729.300 029.745s",="Tx",="11 00 2A 7E 00 7E 10 87 ",="..* ~.~..",="",="",=""
="14:19:58.460.815.320 086.020us",="Tx",="18 9D 82 E7 6E FF 00 00 ",="....n...",="",="",=""
="14:19:58.460.901.340 086.020us",="Tx",="EA 60 80 27 C0 3B 00 00 ",=".`.''.;..",="",="",=""
="14:19:58.460.987.300 085.960us",="Tx",="00 73 27 8D 14 27 B2 45 ",=".s''..''.E",="",="",=""
="14:19:58.461.073.240 085.940us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:19:58.461.159.240 086.000us",="Tx",="00 00 BD 17 17 89 4E ",="......N",="",="",=""
="14:20:28.211.573.760 029.750s",="Tx",="11 00 2A 9D 00 9D 10 87 ",="..* .....",="",="",=""
="14:20:28.211.659.720 085.960us (Apr-08-2024)",="Tx",="18 9D 82 E8 6E FF 00 00 ",="....n...",="",="",=""
="14:20:28.211.745.720 086.000us",="Tx",="EA 60 80 27 C0 3B 00 00 ",=".`.''.;..",="",="",=""
="14:20:28.211.831.660 085.940us",="Tx",="00 73 27 8D 14 27 B2 45 ",=".s''..''.E",="",="",=""
="14:20:28.211.917.620 085.960us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:20:28.212.003.580 085.960us",="Tx",="00 00 BD 18 17 2F 27 ",="...../''",="",="",=""
="14:20:57.965.033.780 029.753s",="Tx",="11 00 2A BC 00 BC 10 87 ",="..* .....",="",="",=""
="14:20:57.965.119.740 085.960us",="Tx",="18 9D 82 E9 6E FF 00 00 ",="....n...",="",="",=""
="14:20:57.965.205.720 085.980us",="Tx",="EA 60 80 27 C0 3C 00 00 ",=".`.''.<..",="",="",=""
="14:20:57.965.291.660 085.940us",="Tx",="00 AE 27 8C EF 27 B2 66 ",="..''..''.f",="",="",=""
="14:20:57.965.377.620 085.960us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:20:57.965.463.620 086.000us",="Tx",="00 00 BD 18 17 5E 5E ",=".....^^",="",="",=""
="14:21:27.716.632.360 029.751s",="Tx",="11 00 2A DB 00 DB 10 87 ",="..* .....",="",="",=""
="14:21:27.716.718.320 085.960us",="Tx",="18 9D 82 EA 6E FF 00 00 ",="....n...",="",="",=""
="14:21:27.716.804.280 085.960us",="Tx",="EA 60 80 27 C0 3C 00 00 ",=".`.''.<..",="",="",=""
="14:21:27.716.890.240 085.960us",="Tx",="00 AE 27 8C EF 27 B2 66 ",="..''..''.f",="",="",=""
="14:21:27.716.976.160 085.920us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:21:27.717.062.160 086.000us",="Tx",="00 00 BD 18 17 D1 9A ",=".......",="",="",=""
="14:21:57.471.258.760 029.754s (Apr-08-2024)",="Tx",="11 00 2A FA 00 FA 10 87 ",="..* .....",="",="",=""
="14:21:57.471.344.740 085.980us",="Tx",="18 9D 82 EB 6E FF 00 00 ",="....n...",="",="",=""
="14:21:57.471.430.720 085.980us",="Tx",="EA 60 80 27 C0 3D 00 00 ",=".`.''.=..",="",="",=""
="14:21:57.471.516.660 085.940us",="Tx",="00 E9 27 8C AE 27 B2 62 ",="..''..''.b",="",="",=""
="14:21:57.471.602.620 085.960us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:21:57.471.688.600 085.980us",="Tx",="00 00 BD 18 17 AC B9 ",=".......",="",="",=""
="14:22:27.232.150.300 029.760s",="Tx",="11 00 2A 19 00 19 10 87 ",="..* .....",="",="",=""
="14:22:27.232.236.280 085.980us",="Tx",="18 9D 82 EC 6E FF 00 00 ",="....n...",="",="",=""
="14:22:27.232.322.300 086.020us",="Tx",="EA 60 80 27 C0 3D 00 00 ",=".`.''.=..",="",="",=""
="14:22:27.232.408.340 086.040us",="Tx",="00 E9 27 8C AE 27 B2 62 ",="..''..''.b",="",="",=""
="14:22:27.232.494.400 086.060us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:22:27.232.580.400 086.000us",="Tx",="00 00 BD 18 17 BB 42 ",="......B",="",="",=""
="14:22:56.995.701.420 029.763s",="Tx",="11 00 2A 38 00 38 10 87 ",="..* 8.8..",="",="",=""
="14:22:56.995.787.380 085.960us",="Tx",="18 9D 82 ED 6E FF 00 00 ",="....n...",="",="",=""
="14:22:56.995.873.340 085.960us",="Tx",="EA 60 80 27 C0 3E 00 00 ",=".`.''.>..",="",="",=""
="14:22:56.995.959.300 085.960us",="Tx",="01 24 27 8C DC 27 B2 25 ",=".$''..''.%",="",="",=""
="14:22:56.996.045.260 085.960us",="Tx",="00 00 00 00 EA 60 C0 80 ",=".....`..",="",="",=""
="14:22:56.996.131.280 086.020us",="Tx",="00 00 BD 18 17 74 8C ",=".....t.",="",="",=""
="14:23:26.760.680.320 029.764s",="Tx",="11 00 2A 57 00 57 10 87 ",="..* W.W..",="",="",=""
="14:23:26.760.766.340 086.020us",="Tx",="18 9D 82 EE 6E FF 00 00 ",="....n...",="",="",=""
="14:23:26.760.852.420 086.080us",="Tx",="EA 60 80 27 C0 3E 00 00 ",=".`.''.>..",="",="",=""
