="11:41:13.525.786.480 004.252ms",="Tx",="11 00 2A 02 00 02 10 FF ",="..* .....",="",="",=""
="11:41:13.525.872.460 085.980us",="Tx",="00 00 00 01 01 FF 00 00 ",="........",="",="",=""
="11:41:13.525.958.400 085.940us",="Tx",="EA 60 00 00 00 00 00 00 ",=".`......",="",="",=""
="11:41:13.526.044.360 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:41:13.526.130.340 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:41:13.526.216.440 086.100us",="Tx",="00 00 00 18 17 FF 10 ",=".......",="",="",=""
="11:41:43.981.601.040 004.164ms",="Tx",="11 00 2A 21 00 21 10 FF ",="..* !.!..",="",="",=""
="11:41:43.981.687.000 085.960us",="Tx",="00 00 00 02 01 FF 00 00 ",="........",="",="",=""
="11:41:43.981.772.960 085.960us",="Tx",="EA 60 00 00 00 00 00 00 ",=".`......",="",="",=""
="11:41:43.981.858.860 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:41:43.981.944.800 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:41:43.982.030.860 086.060us",="Tx",="00 00 00 18 17 6D 82 ",=".....m.",="",="",=""
="11:42:14.438.333.600 006.324ms",="Tx",="11 00 2A 40 00 40 10 FF ",="..* @.@..",="",="",=""
="11:42:14.438.419.580 085.980us",="Tx",="00 00 00 03 01 FF 00 00 ",="........",="",="",=""
="11:42:14.438.505.540 085.960us (Feb-06-2024)",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="11:42:14.438.591.460 085.920us",="Tx",="00 2E FF FF FF 27 B1 A5 ",=".....''..",="",="",=""
="11:42:14.438.677.400 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:42:14.438.763.440 086.040us",="Tx",="00 01 00 18 17 0B 43 ",="......C",="",="",=""
="11:42:44.894.993.500 004.868ms",="Tx",="11 00 2A 5F 00 5F 10 FF ",="..* _._..",="",="",=""
="11:42:44.895.079.480 085.980us",="Tx",="00 00 00 04 01 FF 00 00 ",="........",="",="",=""
="11:42:44.895.165.440 085.960us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="11:42:44.895.251.360 085.920us",="Tx",="00 2E FF FF FF 27 B1 A5 ",=".....''..",="",="",=""
="11:42:44.895.337.300 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:42:44.895.423.360 086.060us",="Tx",="00 01 00 18 17 C2 35 ",="......5",="",="",=""
="11:43:15.356.834.060 005.960ms",="Tx",="11 00 2A 7E 00 7E 10 FF ",="..* ~.~..",="",="",=""
="11:43:15.356.919.980 085.920us",="Tx",="00 00 00 05 01 FF 00 00 ",="........",="",="",=""
="11:43:15.357.005.860 085.880us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="11:43:15.357.091.720 085.860us",="Tx",="00 67 27 8C 60 27 B1 75 ",=".g''.`''.u",="",="",=""
="11:43:15.357.177.600 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:43:15.357.263.580 085.980us",="Tx",="00 00 00 18 17 9C 66 ",="......f",="",="",=""
="11:43:45.817.073.920 005.958ms",="Tx",="11 00 2A 9D 00 9D 10 FF ",="..* .....",="",="",=""
="11:43:45.817.159.860 085.940us",="Tx",="00 00 00 06 01 FF 00 00 ",="........",="",="",=""
="11:43:45.817.245.800 085.940us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="11:43:45.817.331.700 085.900us (Feb-06-2024)",="Tx",="00 67 27 8C 60 27 B1 75 ",=".g''.`''.u",="",="",=""
="11:43:45.817.417.620 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:43:45.817.503.620 086.000us",="Tx",="00 00 00 18 17 DB 4B ",="......K",="",="",=""
="11:44:16.275.668.320 004.037ms",="Tx",="11 00 2A BC 00 BC 10 FF ",="..* .....",="",="",=""
="11:44:16.275.754.260 085.940us",="Tx",="00 00 00 07 01 FF 00 00 ",="........",="",="",=""
="11:44:16.275.840.180 085.920us",="Tx",="EA 60 00 00 00 03 00 00 ",=".`......",="",="",=""
="11:44:16.275.926.060 085.880us",="Tx",="00 A0 27 8C 46 27 B1 92 ",="..''.F''..",="",="",=""
="11:44:16.276.011.960 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:44:16.276.097.980 086.020us",="Tx",="00 00 00 18 17 96 96 ",=".......",="",="",=""
="11:44:46.737.475.920 004.038ms",="Tx",="11 00 2A DB 00 DB 10 FF ",="..* .....",="",="",=""
="11:44:46.737.561.900 085.980us",="Tx",="00 00 00 08 01 FF 00 00 ",="........",="",="",=""
="11:44:46.737.647.820 085.920us",="Tx",="EA 60 00 00 00 03 00 00 ",=".`......",="",="",=""
="11:44:46.737.733.740 085.920us",="Tx",="00 A0 27 8C 46 27 B1 92 ",="..''.F''..",="",="",=""
="11:44:46.737.819.700 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:44:46.737.905.780 086.080us",="Tx",="00 00 00 18 17 E8 28 ",="......(",="",="",=""
="11:45:17.198.204.260 004.038ms",="Tx",="11 00 2A FA 00 FA 10 FF ",="..* .....",="",="",=""
="11:45:17.198.290.240 085.980us (Feb-06-2024)",="Tx",="00 00 00 09 01 FF 00 00 ",="........",="",="",=""
="11:45:17.198.376.180 085.940us",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="11:45:17.198.462.100 085.920us",="Tx",="00 D9 27 8C 88 27 B1 B6 ",="..''..''..",="",="",=""
="11:45:17.198.548.020 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:45:17.198.634.060 086.040us",="Tx",="00 00 00 18 17 02 9E ",=".......",="",="",=""
="11:45:47.658.189.040 005.481ms",="Tx",="11 00 2A 19 00 19 10 FF ",="..* .....",="",="",=""
="11:45:47.658.275.040 086.000us",="Tx",="00 00 00 0A 01 FF 00 00 ",="........",="",="",=""
="11:45:47.658.360.980 085.940us",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="11:45:47.658.446.840 085.860us",="Tx",="00 D9 27 8C 88 27 B1 B6 ",="..''..''..",="",="",=""
="11:45:47.658.532.740 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:45:47.658.618.740 086.000us",="Tx",="00 00 00 18 17 45 B3 ",=".....E.",="",="",=""
="11:46:18.117.326.740 005.359ms",="Tx",="11 00 2A 0A 00 0A 10 FF ",="..* .....",="",="",=""
="11:46:18.117.412.680 085.940us",="Tx",="00 00 00 0B 02 FF 00 00 ",="........",="",="",=""
="11:46:18.117.498.580 085.900us",="Tx",="EA 60 00 00 00 05 00 00 ",=".`......",="",="",=""
="11:46:18.117.584.460 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:46:18.117.670.340 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:46:18.117.756.340 086.000us",="Tx",="00 00 00 18 17 48 04 ",=".....H.",="",="",=""
="11:46:48.576.909.480 004.039ms",="Tx",="11 00 2A 29 00 29 10 FF ",="..* ).)..",="",="",=""
="11:46:48.576.995.420 085.940us (Feb-06-2024)",="Tx",="00 00 00 0C 02 FF 00 00 ",="........",="",="",=""
="11:46:48.577.081.380 085.960us",="Tx",="EA 60 00 00 00 05 00 00 ",=".`......",="",="",=""
="11:46:48.577.167.260 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:46:48.577.253.200 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:46:48.577.339.220 086.020us",="Tx",="00 00 00 18 17 8A 40 ",="......@",="",="",=""
="11:47:19.037.340.320 005.789ms",="Tx",="11 00 2A 48 00 48 10 FF ",="..* H.H..",="",="",=""
="11:47:19.037.426.260 085.940us",="Tx",="00 00 00 0D 02 FF 00 00 ",="........",="",="",=""
="11:47:19.037.512.160 085.900us",="Tx",="EA 60 00 00 00 06 00 00 ",=".`......",="",="",=""
="11:47:19.037.598.040 085.880us",="Tx",="01 5C FF FF FF 27 B1 7F ",=".\...''..",="",="",=""
="11:47:19.037.683.940 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:47:19.037.769.940 086.000us",="Tx",="00 01 00 18 17 9B 10 ",=".......",="",="",=""
="11:47:49.495.428.000 004.674ms",="Tx",="11 00 2A 67 00 67 10 FF ",="..* g.g..",="",="",=""
="11:47:49.495.513.960 085.960us",="Tx",="00 00 00 0E 02 FF 00 00 ",="........",="",="",=""
