Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="13:57:41.067.682.960 0 (Jan-27-2024)",="Tx",="80 ",=".",="",="D0 ",=""
="13:58:01.529.022.020 006.241ms",="Tx",="11 00 2A 02 00 02 10 FF ",="..* .....",="",="D0 ",=""
="13:58:01.529.107.980 085.960us",="Tx",="00 00 00 01 01 FF 00 00 ",="........",="",="",=""
="13:58:01.529.193.940 085.960us",="Tx",="EA 60 00 00 00 00 00 00 ",=".`......",="",="",=""
="13:58:01.529.279.860 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:58:01.529.365.800 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:58:01.529.451.840 086.040us",="Tx",="00 00 00 15 14 B9 2F ",="....../",="",="",=""
="13:59:02.409.984.820 005.969ms",="Tx",="11 00 2A 3F 00 3F 10 FF ",="..* ?.?..",="",="",=""
="13:59:02.410.070.800 085.980us",="Tx",="00 00 00 02 01 FF 00 00 ",="........",="",="",=""
="13:59:02.410.156.780 085.980us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="13:59:02.410.242.700 085.920us",="Tx",="00 35 FF FF FF 27 B2 C8 ",=".5...''..",="",="",=""
="13:59:02.410.328.660 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="13:59:02.410.414.700 086.040us",="Tx",="00 01 00 15 14 AE BD ",=".......",="",="",=""
="14:00:03.298.537.760 005.474ms (Jan-27-2024)",="Tx",="11 00 2A 7C 00 7C 10 FF ",="..* |.|..",="",="",=""
="14:00:03.298.623.740 085.980us",="Tx",="00 00 00 03 01 FF 00 00 ",="........",="",="",=""
="14:00:03.298.709.780 086.040us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="14:00:03.298.795.780 086.000us",="Tx",="00 6E 27 8D 97 27 B2 84 ",=".n''..''..",="",="",=""
="14:00:03.298.881.760 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:00:03.298.967.940 086.180us",="Tx",="00 00 00 15 14 ED 2D ",="......-",="",="",=""
="14:01:04.184.742.220 005.472ms",="Tx",="11 00 2A B9 00 B9 10 FF ",="..* .....",="",="",=""
="14:01:04.184.828.180 085.960us",="Tx",="00 00 00 04 01 FF 00 00 ",="........",="",="",=""
="14:01:04.184.914.160 085.980us",="Tx",="EA 60 00 00 00 03 00 00 ",=".`......",="",="",=""
="14:01:04.185.000.100 085.940us",="Tx",="00 A8 27 8D AE 27 B2 7C ",="..''..''.|",="",="",=""
="14:01:04.185.086.080 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:01:04.185.172.080 086.000us",="Tx",="00 00 00 15 14 71 FD ",=".....q.",="",="",=""
="14:02:05.071.067.960 005.890ms",="Tx",="11 00 2A F6 00 F6 10 FF ",="..* .....",="",="",=""
="14:02:05.071.153.960 086.000us",="Tx",="00 00 00 05 01 FF 00 00 ",="........",="",="",=""
="14:02:05.071.239.960 086.000us",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="14:02:05.071.325.940 085.980us",="Tx",="00 E1 27 8D 80 27 B2 CF ",="..''..''..",="",="",=""
="14:02:05.071.411.940 086.000us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:02:05.071.498.080 086.140us",="Tx",="00 00 00 15 14 33 5B ",=".....3[",="",="",=""
="14:03:05.954.246.720 005.986ms",="Tx",="11 00 2A 33 00 33 10 FF ",="..* 3.3..",="",="",=""
="14:03:05.954.332.700 085.980us",="Tx",="00 00 00 06 01 FF 00 00 ",="........",="",="",=""
="14:03:05.954.418.700 086.000us",="Tx",="EA 60 00 00 00 05 00 00 ",=".`......",="",="",=""
="14:03:05.954.504.660 085.960us (Jan-27-2024)",="Tx",="01 1A 27 8D 92 27 B2 87 ",="..''..''..",="",="",=""
="14:03:05.954.590.640 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:03:05.954.676.780 086.140us",="Tx",="00 00 00 15 14 4F EA ",=".....O.",="",="",=""
="14:04:06.830.125.900 004.134ms",="Tx",="11 00 2A 70 00 70 10 FF ",="..* p.p..",="",="",=""
="14:04:06.830.211.880 085.980us",="Tx",="00 00 00 07 01 FF 00 00 ",="........",="",="",=""
="14:04:06.830.297.860 085.980us",="Tx",="EA 60 00 00 00 06 00 00 ",=".`......",="",="",=""
="14:04:06.830.383.800 085.940us",="Tx",="01 53 27 8D 88 27 B2 83 ",=".S''..''..",="",="",=""
="14:04:06.830.469.760 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:04:06.830.555.920 086.160us",="Tx",="00 00 00 15 14 3E CE ",=".....>.",="",="",=""
="14:05:07.712.116.340 006.168ms",="Tx",="11 00 2A AD 00 AD 10 FF ",="..* .....",="",="",=""
="14:05:07.712.202.320 085.980us",="Tx",="00 00 00 08 01 FF 00 00 ",="........",="",="",=""
="14:05:07.712.288.320 086.000us",="Tx",="EA 60 00 00 00 07 00 00 ",=".`......",="",="",=""
="14:05:07.712.374.280 085.960us",="Tx",="01 8D 27 8D 5B 27 B2 70 ",="..''.[''.p",="",="",=""
="14:05:07.712.460.260 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:05:07.712.546.380 086.120us",="Tx",="00 00 00 15 14 55 E1 ",=".....U.",="",="",=""
="14:06:08.591.044.220 006.483ms",="Tx",="11 00 2A EA 00 EA 10 FF ",="..* .....",="",="",=""
="14:06:08.591.130.160 085.940us",="Tx",="00 00 00 09 01 FF 00 00 ",="........",="",="",=""
="14:06:08.591.216.100 085.940us",="Tx",="EA 60 00 00 00 08 00 00 ",=".`......",="",="",=""
="14:06:08.591.302.080 085.980us",="Tx",="01 C6 27 8D 60 27 B2 72 ",="..''.`''.r",="",="",=""
="14:06:08.591.388.040 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:06:08.591.474.140 086.100us",="Tx",="00 00 00 15 14 BD CD ",=".......",="",="",=""
="14:07:09.463.638.560 005.623ms",="Tx",="11 00 2A 27 00 27 10 FF ",="..* ''.''..",="",="",=""
="14:07:09.463.724.520 085.960us",="Tx",="00 00 00 0A 01 FF 00 00 ",="........",="",="",=""
="14:07:09.463.810.460 085.940us",="Tx",="EA 60 00 00 00 09 00 00 ",=".`......",="",="",=""
="14:07:09.463.896.380 085.920us",="Tx",="01 FF 27 8D 6E 27 B2 66 ",="..''.n''.f",="",="",=""
="14:07:09.463.982.320 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:07:09.464.068.440 086.120us",="Tx",="00 00 00 15 14 DA FC ",=".......",="",="",=""
="14:08:10.340.388.520 003.991ms",="Tx",="11 00 2A 64 00 64 10 FF ",="..* d.d..",="",="",=""
="14:08:10.340.474.460 085.940us (Jan-27-2024)",="Tx",="00 00 00 0B 01 FF 00 00 ",="........",="",="",=""
="14:08:10.340.560.420 085.960us",="Tx",="EA 60 00 00 00 0A 00 00 ",=".`......",="",="",=""
="14:08:10.340.646.380 085.960us",="Tx",="02 39 27 8D 8F 27 B2 46 ",=".9''..''.F",="",="",=""
="14:08:10.340.732.320 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:08:10.340.818.460 086.140us",="Tx",="00 00 00 15 14 E6 EB ",=".......",="",="",=""
="14:09:11.226.363.440 004.873ms",="Tx",="11 00 2A A1 00 A1 10 FF ",="..* .....",="",="",=""
="14:09:11.226.449.380 085.940us",="Tx",="00 00 00 0C 01 FF 00 00 ",="........",="",="",=""
="14:09:11.226.535.320 085.940us",="Tx",="EA 60 00 00 00 0B 00 00 ",=".`......",="",="",=""
="14:09:11.226.621.220 085.900us",="Tx",="02 72 27 8D 88 27 B2 72 ",=".r''..''.r",="",="",=""
="14:09:11.226.707.140 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:09:11.226.793.120 085.980us",="Tx",="00 00 00 15 14 E3 56 ",="......V",="",="",=""
="14:10:12.111.216.400 004.371ms",="Tx",="11 00 2A DE 00 DE 10 FF ",="..* .....",="",="",=""
="14:10:12.111.302.340 085.940us",="Tx",="00 00 00 0D 01 FF 00 00 ",="........",="",="",=""
="14:10:12.111.388.300 085.960us",="Tx",="EA 60 00 00 00 0C 00 00 ",=".`......",="",="",=""
="14:10:12.111.474.240 085.940us",="Tx",="02 AB 27 8D 7F 27 B2 7B ",="..''..''.{",="",="",=""
="14:10:12.111.560.180 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:10:12.111.646.320 086.140us (Jan-27-2024)",="Tx",="00 00 00 15 14 49 3F ",=".....I?",="",="",=""
="14:11:12.997.724.820 005.563ms (Jan-27-2024)",="Tx",="11 00 2A 1B 00 1B 10 FF ",="..* .....",="",="",=""
="14:11:12.997.810.760 085.940us",="Tx",="00 00 00 0E 01 FF 00 00 ",="........",="",="",=""
="14:11:12.997.896.700 085.940us",="Tx",="EA 60 00 00 00 0D 00 00 ",=".`......",="",="",=""
="14:11:12.997.982.620 085.920us",="Tx",="02 E4 27 8D 73 27 B2 A1 ",="..''.s''..",="",="",=""
="14:11:12.998.068.580 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="14:11:12.998.154.720 086.140us",="Tx",="00 00 00 15 14 7D AC ",=".....}.",="",="",=""
="14:12:13.888.051.000 006.116ms",="Tx",="11 00 2A 58 00 58 10 FF ",="..* X.X..",="",="",=""
