Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="23:49:13.518.639.720 086.120us",="Tx",="00 00 3C 18 17 83 B4 ",="..<....",="",="",=""
="23:49:42.971.616.420 029.452s",="Tx",="11 00 2A 94 00 94 10 AA ",="..* .....",="",="",=""
="23:49:42.971.702.480 086.060us",="Tx",="10 16 0B CF 11 FF 00 00 ",="........",="",="",=""
="23:49:42.971.788.400 085.920us",="Tx",="EA 60 00 00 05 5D 00 01 ",=".`...]..",="",="",=""
="23:49:42.971.874.340 085.940us",="Tx",="62 57 27 8C 50 27 B1 BD ",="bW''.P''..",="",="",=""
="23:49:42.971.960.280 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:49:42.972.046.420 086.140us",="Tx",="00 00 3C 18 17 62 5E ",="..<..b^",="",="",=""
="23:50:12.424.336.380 029.452s",="Tx",="11 00 2A B2 00 B2 10 AA ",="..* .....",="",="",=""
="23:50:12.424.422.480 086.100us",="Tx",="10 16 0B D0 11 FF 00 00 ",="........",="",="",=""
="23:50:12.424.508.420 085.940us",="Tx",="EA 60 00 00 05 5D 00 01 ",=".`...]..",="",="",=""
="23:50:12.424.594.380 085.960us (Mar-27-2024)",="Tx",="62 57 27 8C 50 27 B1 BD ",="bW''.P''..",="",="",=""
="23:50:12.424.680.340 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:50:12.424.766.480 086.140us",="Tx",="00 00 3C 18 17 DB 64 ",="..<...d",="",="",=""
="23:50:41.879.697.080 029.454s",="Tx",="11 00 2A D0 00 D0 10 AA ",="..* .....",="",="",=""
="23:50:41.879.783.220 086.140us",="Tx",="10 16 0B D1 11 FF 00 00 ",="........",="",="",=""
="23:50:41.879.869.140 085.920us",="Tx",="EA 60 00 00 05 5E 00 01 ",=".`...^..",="",="",=""
="23:50:41.879.955.080 085.940us",="Tx",="62 92 27 8C 6C 27 B1 83 ",="b.''.l''..",="",="",=""
="23:50:41.880.041.040 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:50:41.880.127.160 086.120us",="Tx",="00 00 3C 18 17 C5 23 ",="..<...#",="",="",=""
="23:51:11.335.097.000 029.454s",="Tx",="11 00 2A EE 00 EE 10 AA ",="..* .....",="",="",=""
="23:51:11.335.183.100 086.100us",="Tx",="10 16 0B D2 11 FF 00 00 ",="........",="",="",=""
="23:51:11.335.269.020 085.920us",="Tx",="EA 60 00 00 05 5E 00 01 ",=".`...^..",="",="",=""
="23:51:11.335.355.040 086.020us",="Tx",="62 92 27 8C 6C 27 B1 83 ",="b.''.l''..",="",="",=""
="23:51:11.335.441.060 086.020us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:51:11.335.527.240 086.180us",="Tx",="00 00 3C 18 17 2A B1 ",="..<..* .",="",="",=""
="23:51:40.790.996.340 029.455s",="Tx",="11 00 2A 0C 00 0C 10 AA ",="..* .....",="",="",=""
="23:51:40.791.082.380 086.040us",="Tx",="10 16 0B D3 11 FF 00 00 ",="........",="",="",=""
="23:51:40.791.168.260 085.880us",="Tx",="EA 60 00 00 05 5F 00 01 ",=".`..._..",="",="",=""
="23:51:40.791.254.220 085.960us",="Tx",="62 CE 27 8C 7E 27 B1 BB ",="b.''.~''..",="",="",=""
="23:51:40.791.340.120 085.900us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:51:40.791.426.240 086.120us (Mar-27-2024)",="Tx",="00 00 3C 18 17 68 5E ",="..<..h^",="",="",=""
="23:52:10.251.230.760 029.459s",="Tx",="11 00 2A 2A 00 2A 10 AA ",="..* * .* ..",="",="",=""
="23:52:10.251.316.860 086.100us",="Tx",="10 16 0B D4 11 FF 00 00 ",="........",="",="",=""
="23:52:10.251.402.800 085.940us",="Tx",="EA 60 00 00 05 5F 00 01 ",=".`..._..",="",="",=""
="23:52:10.251.488.740 085.940us",="Tx",="62 CE 27 8C 7E 27 B1 BB ",="b.''.~''..",="",="",=""
="23:52:10.251.574.720 085.980us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:52:10.251.660.840 086.120us",="Tx",="00 00 3C 18 17 23 B1 ",="..<..#.",="",="",=""
="23:52:39.707.620.160 029.455s",="Tx",="11 00 2A 48 00 48 10 AA ",="..* H.H..",="",="",=""
="23:52:39.707.706.260 086.100us",="Tx",="10 16 0B D5 11 FF 00 00 ",="........",="",="",=""
="23:52:39.707.792.200 085.940us",="Tx",="EA 60 00 00 05 60 00 01 ",=".`...`..",="",="",=""
="23:52:39.707.878.140 085.940us",="Tx",="63 09 27 8C 2C 27 B1 84 ","c.''.,''..",="",="",=""
="23:52:39.707.964.100 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:52:39.708.050.240 086.140us",="Tx",="00 00 3C 18 17 ED 9D ",="..<....",="",="",=""
="23:53:09.166.036.800 029.457s",="Tx",="11 00 2A 66 00 66 10 AA ",="..* f.f..",="",="",=""
="23:53:09.166.122.860 086.060us",="Tx",="10 16 0B D6 11 FF 00 00 ",="........",="",="",=""
="23:53:09.166.208.740 085.880us",="Tx",="EA 60 00 00 05 60 00 01 ",=".`...`..",="",="",=""
="23:53:09.166.294.660 085.920us",="Tx",="63 09 27 8C 2C 27 B1 84 ","c.''.,''..",="",="",=""
="23:53:09.166.380.560 085.900us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:53:09.166.466.680 086.120us",="Tx",="00 00 3C 18 17 A5 3D ",="..<...=",="",="",=""
="23:53:38.624.627.040 029.458s",="Tx",="11 00 2A 84 00 84 10 AA ",="..* .....",="",="",=""
="23:53:38.624.713.120 086.080us (Mar-27-2024)",="Tx",="10 16 0B D7 11 FF 00 00 ",="........",="",="",=""
="23:53:38.624.799.020 085.900us",="Tx",="EA 60 00 00 05 61 00 01 ",=".`...a..",="",="",=""
="23:53:38.624.885.000 085.980us",="Tx",="63 44 27 8C 4F 27 B1 A2 ",="cD''.O''..",="",="",=""
="23:53:38.624.970.960 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:53:38.625.057.080 086.120us",="Tx",="00 00 3C 18 17 D5 2C ","..<...,",="",="",=""
="23:54:08.079.956.100 029.454s",="Tx",="11 00 2A A2 00 A2 10 AA ",="..* .....",="",="",=""
="23:54:08.080.042.200 086.100us",="Tx",="10 16 0B D8 11 FF 00 00 ",="........",="",="",=""
="23:54:08.080.128.140 085.940us",="Tx",="EA 60 00 00 05 61 00 01 ",=".`...a..",="",="",=""
="23:54:08.080.214.100 085.960us",="Tx",="63 44 27 8C 4F 27 B1 A2 ",="cD''.O''..",="",="",=""
="23:54:08.080.300.060 085.960us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:54:08.080.386.180 086.120us",="Tx",="00 00 3C 18 17 3F 6F ",="..<..?o",="",="",=""
="23:54:37.528.004.560 029.447s",="Tx",="11 00 2A C0 00 C0 10 AA ",="..* .....",="",="",=""
="23:54:37.528.090.640 086.080us",="Tx",="10 16 0B D9 11 FF 00 00 ",="........",="",="",=""
="23:54:37.528.176.540 085.900us",="Tx",="EA 60 00 00 05 62 00 01 ",=".`...b..",="",="",=""
="23:54:37.528.262.480 085.940us",="Tx",="63 7F 27 8C 64 27 B1 73 ",="c.''.d''.s",="",="",=""
="23:54:37.528.348.420 085.940us",="Tx",="00 00 00 00 CA 60 E6 71 ",=".....`.q",="",="",=""
="23:54:37.528.434.540 086.120us",="Tx",="00 00 3C 18 17 5D 94 ",="..<..].",="",="",=""
="23:55:06.975.094.780 029.446s",="Tx",="11 00 2A DE 00 DE 10 AA ",="..* .....",="",="",=""
="23:55:06.975.180.860 086.080us",="Tx",="10 16 0B DA 11 FF 00 00 ",="........",="",="",=""
