Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="11:18:21.656.673.060 085.960us",="Tx",="10 16 28 03 2B FF 00 00 ",="..(.+...",="",="",=""
="11:18:21.656.758.960 085.900us",="Tx",="EA 60 FF BC AE EE 00 00 ",=".`......",="",="",=""
="11:18:21.656.844.860 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:18:21.656.930.760 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:18:21.657.016.760 086.000us",="Tx",="00 EC E3 18 17 8B 1D ",=".......",="",="",=""
="11:18:52.100.217.380 030.443s",="Tx",="11 00 2A 1D 00 1D 10 FC ",="..* .....",="",="",=""
="11:18:52.100.303.320 085.940us",="Tx",="10 16 28 04 2C FF 00 00 ","..(.,...",="",="",=""
="11:18:52.100.389.220 085.900us",="Tx",="EA 60 FF BC AE F0 00 00 ",=".`......",="",="",=""
="11:18:52.100.475.080 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:18:52.100.561.000 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:18:52.100.647.060 086.060us",="Tx",="00 ED E4 18 17 D0 B6 ",=".......",="",="",=""
="11:19:22.545.187.280 030.444s",="Tx",="11 00 2A 02 00 02 10 FC ",="..* .....",="",="",=""
="11:19:22.545.273.260 085.980us",="Tx",="10 16 28 05 2D FF 00 00 ",="..(.-...",="",="",=""
="11:19:22.545.359.200 085.940us",="Tx",="EA 60 FF BC AE F2 00 00 ",=".`......",="",="",=""
="11:19:22.545.445.160 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:19:22.545.531.080 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:19:22.545.617.140 086.060us",="Tx",="00 EE E5 18 17 2E 4B ",="......K",="",="",=""
="11:20:03.086.072.140 040.540s",="Tx",="11 00 2A 12 00 12 10 00 ",="..* .....",="",="",=""
="11:20:03.086.158.080 085.940us",="Tx",="10 16 28 06 2E FF 00 00 ",="..(.....",="",="",=""
="11:20:03.086.244.000 085.920us",="Tx",="EA 60 FF BC AE F3 00 00 ",=".`......",="",="",=""
="11:20:03.086.329.860 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:20:03.086.415.760 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:20:03.086.501.760 086.000us",="Tx",="00 EE F9 18 17 36 0F ",=".....6.",="",="",=""
="11:20:33.525.393.040 030.438s",="Tx",="11 00 2A 31 00 31 10 00 ",="..* 1.1..",="",="",=""
="11:20:33.525.478.980 085.940us",="Tx",="10 16 28 07 2E FF 00 00 ",="..(.....",="",="",=""
="11:20:33.525.564.940 085.960us",="Tx",="EA 60 FF BC AE F3 00 00 ",=".`......",="",="",=""
="11:20:33.525.650.800 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:20:33.525.736.700 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:20:33.525.822.680 085.980us (Feb-19-2024)",="Tx",="00 EE F9 18 17 8C F6 ",=".......",="",="",=""
="11:21:03.967.695.300 030.441s",="Tx",="11 00 2A 18 00 18 10 00 ",="..* .....",="",="",=""
="11:21:03.967.781.220 085.920us",="Tx",="10 16 28 08 2F FF 00 00 ",="..(./...",="",="",=""
="11:21:03.967.867.100 085.880us",="Tx",="EA 60 FF BC AE F5 00 00 ",=".`......",="",="",=""
="11:21:03.967.953.000 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:21:03.968.038.900 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:21:03.968.124.900 086.000us",="Tx",="00 EF FA 18 17 FC 5B ",="......[",="",="",=""
="11:21:34.415.400.800 030.447s",="Tx",="11 00 2A 37 00 37 10 00 ",="..* 7.7..",="",="",=""
="11:21:34.415.486.760 085.960us",="Tx",="10 16 28 09 2F FF 00 00 ",="..(./...",="",="",=""
="11:21:34.415.572.680 085.920us",="Tx",="EA 60 FF BC AE F5 00 00 ",=".`......",="",="",=""
="11:21:34.415.658.540 085.860us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:21:34.415.744.460 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:21:34.415.830.480 086.020us",="Tx",="00 EF FA 18 17 B4 E7 ",=".......",="",="",=""
="11:22:04.858.158.280 030.442s",="Tx",="11 00 2A 1A 00 1A 10 00 ",="..* .....",="",="",=""
="11:22:04.858.244.260 085.980us",="Tx",="10 16 28 0A 30 FF 00 00 ",="..(.0...",="",="",=""
="11:22:04.858.330.240 085.980us",="Tx",="EA 60 FF BC AE F7 00 00 ",=".`......",="",="",=""
="11:22:04.858.416.140 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:22:04.858.502.080 085.940us (Feb-19-2024)",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:22:04.858.588.140 086.060us",="Tx",="00 F0 FB 18 17 F1 7A ",="......z",="",="",=""
="11:22:35.309.035.680 030.450s",="Tx",="11 00 2A 39 00 39 10 00 ",="..* 9.9..",="",="",=""
="11:22:35.309.121.620 085.940us",="Tx",="10 16 28 0B 30 FF 00 00 ",="..(.0...",="",="",=""
="11:22:35.309.207.520 085.900us",="Tx",="EA 60 FF BC AE F7 00 00 ",=".`......",="",="",=""
="11:22:35.309.293.400 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:22:35.309.379.300 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:22:35.309.465.320 086.020us",="Tx",="00 F0 FB 18 17 4B 83 ",=".....K.",="",="",=""
="11:23:05.759.446.880 030.449s",="Tx",="11 00 2A 1D 00 1D 10 00 ",="..* .....",="",="",=""
="11:23:05.759.532.820 085.940us",="Tx",="10 16 28 0C 31 FF 00 00 ",="..(.1...",="",="",=""
="11:23:05.759.618.740 085.920us",="Tx",="EA 60 FF BC AE F9 00 00 ",=".`......",="",="",=""
="11:23:05.759.704.620 085.880us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:23:05.759.790.520 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:23:05.759.876.520 086.000us",="Tx",="00 F1 FC 18 17 34 49 ",=".....4I",="",="",=""
="11:23:36.211.001.020 030.451s",="Tx",="11 00 2A 3C 00 3C 10 00 ",="..* <.<..",="",="",=""
="11:23:36.211.086.960 085.940us",="Tx",="10 16 28 0D 31 FF 00 00 ",="..(.1...",="",="",=""
="11:23:36.211.172.880 085.920us",="Tx",="EA 60 FF BC AE FA 00 00 ",=".`......",="",="",=""
="11:23:36.211.258.780 085.900us (Feb-19-2024)",="Tx",="02 39 FF FF FF 27 AE 4B ",=".9...''.K",="",="",=""
="11:23:36.211.344.700 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:23:36.211.430.740 086.040us",="Tx",="00 00 FD 18 17 60 A4 ",=".....`.",="",="",=""
="11:24:06.660.577.140 030.449s",="Tx",="11 00 2A 1F 00 1F 10 00 ",="..* .....",="",="",=""
="11:24:06.660.663.140 086.000us",="Tx",="10 16 28 0E 32 FF 00 00 ",="..(.2...",="",="",=""
="11:24:06.660.749.080 085.940us",="Tx",="EA 60 FF BC AE FB 00 00 ",=".`......",="",="",=""
="11:24:06.660.834.980 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:24:06.660.920.900 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:24:06.661.006.960 086.060us",="Tx",="00 F2 FD 18 17 08 63 ",="......c",="",="",=""
="11:24:37.120.523.060 030.459s",="Tx",="11 00 2A 03 00 03 10 00 ",="..* .....",="",="",=""
="11:24:37.120.609.100 086.040us",="Tx",="10 16 28 0F 33 FF 00 00 ",="..(.3...",="",="",=""
="11:24:37.120.695.100 086.000us",="Tx",="EA 60 FF BC AE FD 00 00 ",=".`......",="",="",=""
="11:24:37.120.781.000 085.900us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:24:37.120.866.900 085.900us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:24:37.120.952.960 086.060us",="Tx",="00 F3 FE 18 17 D1 03 ",=".......",="",="",=""
="11:25:07.575.815.140 030.454s",="Tx",="11 00 2A 22 00 22 10 00 ",="..* "".""..",="",="",=""
="11:25:07.575.901.100 085.960us",="Tx",="10 16 28 10 33 FF 00 00 ",="..(.3...",="",="",=""
="11:25:07.575.987.040 085.940us (Feb-19-2024)",="Tx",="EA 60 FF BC AE FD 00 00 ",=".`......",="",="",=""
="11:25:07.576.073.000 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:25:07.576.158.980 085.980us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:25:07.576.245.000 086.020us",="Tx",="00 F3 FE 18 17 B1 7C ",="......|",="",="",=""
="11:25:38.030.951.240 030.454s",="Tx",="11 00 2A 06 00 06 10 00 ",="..* .....",="",="",=""
="11:25:38.031.037.220 085.980us",="Tx",="10 16 28 11 34 FF 00 00 ",="..(.4...",="",="",=""
="11:25:38.031.123.140 085.920us",="Tx",="EA 60 FF BC AE FF 00 00 ",=".`......",="",="",=""
="11:25:38.031.209.060 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:25:38.031.294.980 085.920us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:25:38.031.381.040 086.060us",="Tx",="00 F4 FF 18 17 4B AC ",=".....K.",="",="",=""
="11:26:08.492.918.380 030.461s",="Tx",="11 00 2A 25 00 25 10 00 ",="..* %.%..",="",="",=""
="11:26:08.493.004.360 085.980us",="Tx",="10 16 28 12 34 FF 00 00 ",="..(.4...",="",="",=""
="11:26:08.493.090.320 085.960us",="Tx",="EA 60 FF BC AE FF 00 00 ",=".`......",="",="",=""
="11:26:08.493.176.260 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:26:08.493.262.260 086.000us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:26:08.493.348.320 086.060us",="Tx",="00 F4 FF 18 17 D9 3E ",="......>",="",="",=""
="11:26:38.952.778.840 030.459s",="Tx",="11 00 2A 08 00 08 10 00 ",="..* .....",="",="",=""
="11:26:38.952.864.780 085.940us (Feb-19-2024)",="Tx",="10 16 28 13 35 FF 00 00 ",="..(.5...",="",="",=""
="11:26:38.952.950.700 085.920us",="Tx",="EA 60 FF BC AF 01 00 00 ",=".`......",="",="",=""
="11:26:38.953.036.540 085.840us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="11:26:38.953.122.420 085.880us",="Tx",="00 00 00 00 FF ED EF FF ",="........",="",="",=""
="11:26:38.953.208.440 086.020us",="Tx",="00 F5 00 18 17 59 A2 ",=".....Y.",="",="",=""
="11:27:09.407.644.680 030.454s",="Tx",="11 00 2A 27 00 27 10 00 ",="..* ''.''..",="",="",=""
="11:27:09.407.730.680 086.000us",="Tx",="10 16 28 14 35 FF 00 00 ",="..(.5...",="",="",=""
