Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="15:48:53.904.673.200 0 (Apr-09-2024)",="Tx",="11 00 2A B5 00 B5 10 87 ",="..* .....",="",="",=""
="15:48:53.904.759.160 085.960us",="Tx",="18 9D 8D EA 9C FF 00 00 ",="........",="",="",=""
="15:48:53.904.845.120 085.960us",="Tx",="EA 60 00 07 C4 29 00 01 ",=".`...)..",="",="",=""
="15:48:53.904.931.040 085.920us",="Tx",="68 CA 27 8B 4F 27 B0 AB ",="h.''.O''..",="",="",=""
="15:48:53.905.016.960 085.920us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:48:53.905.102.860 085.900us",="Tx",="00 00 3F 18 17 B3 8C ",="..?....",="",="",=""
="15:49:23.664.442.780 029.759s",="Tx",="11 00 2A D4 00 D4 10 87 ",="..* .....",="",="",=""
="15:49:23.664.528.760 085.980us",="Tx",="18 9D 8D EB 9C FF 00 00 ",="........",="",="",=""
="15:49:23.664.614.720 085.960us",="Tx",="EA 60 00 07 C4 29 00 01 ",=".`...)..",="",="",=""
="15:49:23.664.700.700 085.980us",="Tx",="68 CA 27 8B 4F 27 B0 AB ",="h.''.O''..",="",="",=""
="15:49:23.664.786.740 086.040us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:49:23.664.872.700 085.960us",="Tx",="00 00 3F 18 16 F5 30 ",="..?...0",="",="",=""
="15:49:53.426.811.060 029.761s (Apr-09-2024)",="Tx",="11 00 2A F3 00 F3 10 87 ",="..* .....",="",="",=""
="15:49:53.426.897.000 085.940us",="Tx",="18 9D 8D EC 9C FF 00 00 ",="........",="",="",=""
="15:49:53.426.982.960 085.960us",="Tx",="EA 60 00 07 C4 2A 00 01 ",=".`...* ..",="",="",=""
="15:49:53.427.068.860 085.900us",="Tx",="69 05 27 8B 49 27 B0 B9 ",="i.''.I''..",="",="",=""
="15:49:53.427.154.820 085.960us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:49:53.427.240.760 085.940us",="Tx",="00 00 3F 18 16 AA 14 ",="..?....",="",="",=""
="15:50:23.185.892.560 029.758s",="Tx",="11 00 2A 12 00 12 10 87 ",="..* .....",="",="",=""
="15:50:23.185.978.500 085.940us",="Tx",="18 9D 8D ED 9C FF 00 00 ",="........",="",="",=""
="15:50:23.186.064.440 085.940us",="Tx",="EA 60 00 07 C4 2A 00 01 ",=".`...* ..",="",="",=""
="15:50:23.186.150.340 085.900us",="Tx",="69 05 27 8B 49 27 B0 B9 ",="i.''.I''..",="",="",=""
="15:50:23.186.236.260 085.920us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:50:23.186.322.200 085.940us",="Tx",="00 00 3F 18 16 95 BC ",="..?....",="",="",=""
="15:50:52.943.003.380 029.756s",="Tx",="11 00 2A 31 00 31 10 87 ",="..* 1.1..",="",="",=""
="15:50:52.943.089.340 085.960us",="Tx",="18 9D 8D EE 9C FF 00 00 ",="........",="",="",=""
="15:50:52.943.175.320 085.980us",="Tx",="EA 60 00 07 C4 2B 00 01 ",=".`...+..",="",="",=""
="15:50:52.943.261.300 085.980us",="Tx",="69 41 27 8B 2B 27 B0 B4 ",="iA''.+''..",="",="",=""
="15:50:52.943.347.260 085.960us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:50:52.943.433.160 085.900us",="Tx",="00 00 3F 18 16 53 E1 ",="..?..S.",="",="",=""
="15:51:22.704.443.020 029.761s",="Tx",="11 00 2A 1D 00 1D 10 87 ",="..* .....",="",="",=""
="15:51:22.704.529.000 085.980us",="Tx",="18 9D 8D EF 9D FF 00 00 ",="........",="",="",=""
="15:51:22.704.615.020 086.020us",="Tx",="EA 60 00 07 C4 2B 00 00 ",=".`...+..",="",="",=""
="15:51:22.704.701.000 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="15:51:22.704.787.000 086.000us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:51:22.704.872.940 085.940us",="Tx",="00 00 3F 18 16 99 24 ",="..?...$",="",="",=""
="15:51:52.460.639.120 029.755s",="Tx",="11 00 2A 3C 00 3C 10 87 ",="..* <.<..",="",="",=""
="15:51:52.460.725.020 085.900us",="Tx",="18 9D 8D F0 9D FF 00 00 ",="........",="",="",=""
="15:51:52.460.810.920 085.900us",="Tx",="EA 60 00 07 C4 2B 00 00 ",=".`...+..",="",="",=""
="15:51:52.460.896.840 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="15:51:52.460.982.760 085.920us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:51:52.461.068.700 085.940us",="Tx",="00 00 3F 18 16 F9 5B ",="..?...[",="",="",=""
="15:52:22.213.351.420 029.752s",="Tx",="11 00 2A 5B 00 5B 10 87 ",="..* [.[..",="",="",=""
="15:52:22.213.437.420 086.000us",="Tx",="18 9D 8D F1 9D FF 00 00 ",="........",="",="",=""
="15:52:22.213.523.400 085.980us",="Tx",="EA 60 00 07 C4 2C 00 01 ",".`...,..",="",="",=""
="15:52:22.213.609.380 085.980us",="Tx",="69 87 FF FF FF 27 B0 7B ",="i....''.{",="",="",=""
="15:52:22.213.695.360 085.980us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:52:22.213.781.340 085.980us (Apr-09-2024)",="Tx",="00 01 3F 18 16 7D A6 ",="..?..}.",="",="",=""
="15:52:51.969.271.180 029.755s",="Tx",="11 00 2A 7A 00 7A 10 87 ",="..* z.z..",="",="",=""
="15:52:51.969.357.120 085.940us",="Tx",="18 9D 8D F2 9D FF 00 00 ",="........",="",="",=""
="15:52:51.969.443.080 085.960us",="Tx",="EA 60 00 07 C4 2C 00 01 ",".`...,..",="",="",=""
="15:52:51.969.529.000 085.920us",="Tx",="69 87 FF FF FF 27 B0 7B ",="i....''.{",="",="",=""
="15:52:51.969.614.940 085.940us",="Tx",="00 00 00 00 CA 40 C0 00 ",=".....@..",="",="",=""
="15:52:51.969.700.860 085.920us",="Tx",="00 01 3F 18 16 BF DA ",="..?....",="",="",=""
="15:53:21.727.594.580 029.757s",="Tx",="11 00 2A 99 00 99 10 87 ",="..* .....",="",="",=""
="15:53:21.727.680.540 085.960us",="Tx",="18 9D 8D F3 9D FF 00 00 ",="........",="",="",=""
="15:53:21.727.766.500 085.960us",="Tx",="EA 60 00 07 C4 2D 00 01 ",=".`...-..",="",="",=""
