Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="17:52:50.696.967.640 0 (Apr-11-2024)",="Tx",="11 00 2A 28 00 28 10 FF ",="..* (.(..",="",="",=""
="17:52:50.697.053.560 085.920us",="Tx",="00 00 00 02 01 FF 00 00 ",="........",="",="",=""
="17:52:50.697.139.520 085.960us (Apr-11-2024)",="Tx",="EA 60 00 00 00 00 00 00 ",=".`......",="",="",=""
="17:52:50.697.225.500 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:52:50.697.311.500 086.000us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:52:50.697.397.640 086.140us",="Tx",="00 00 00 17 17 06 52 ",="......R",="",="",=""
="17:53:20.455.608.040 029.758s",="Tx",="11 00 2A 47 00 47 10 FF ",="..* G.G..",="",="",=""
="17:53:20.455.693.980 085.940us",="Tx",="00 00 00 03 01 FF 00 00 ",="........",="",="",=""
="17:53:20.455.779.960 085.980us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="17:53:20.455.865.900 085.940us",="Tx",="01 B8 FF FF FF 27 B2 34 ",=".....''.4",="",="",=""
="17:53:20.455.951.840 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:53:20.456.037.960 086.120us",="Tx",="00 01 00 17 17 A2 01 ",=".......",="",="",=""
="17:53:50.221.535.780 029.765s",="Tx",="11 00 2A 66 00 66 10 FF ",="..* f.f..",="",="",=""
="17:53:50.221.621.720 085.940us",="Tx",="00 00 00 04 01 FF 00 00 ",="........",="",="",=""
="17:53:50.221.707.660 085.940us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="17:53:50.221.793.560 085.900us",="Tx",="01 B8 FF FF FF 27 B2 34 ",=".....''.4",="",="",=""
="17:53:50.221.879.480 085.920us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:53:50.221.965.580 086.100us",="Tx",="00 01 00 17 17 30 AB ",=".....0.",="",="",=""
="17:54:19.985.541.820 029.763s",="Tx",="11 00 2A 85 00 85 10 FF ",="..* .....",="",="",=""
="17:54:19.985.627.800 085.980us (Apr-11-2024)",="Tx",="00 00 00 05 01 FF 00 00 ",="........",="",="",=""
="17:54:19.985.713.820 086.020us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="17:54:19.985.799.840 086.020us",="Tx",="01 F3 27 8C C6 27 B2 17 ",="..''..''..",="",="",=""
="17:54:19.985.885.840 086.000us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:54:19.985.971.960 086.120us",="Tx",="00 00 00 17 17 84 D3 ",=".......",="",="",=""
="17:54:49.750.930.500 029.764s",="Tx",="11 00 2A A4 00 A4 10 FF ",="..* .....",="",="",=""
="17:54:49.751.016.480 085.980us",="Tx",="00 00 00 06 01 FF 00 00 ",="........",="",="",=""
="17:54:49.751.102.460 085.980us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="17:54:49.751.188.440 085.980us",="Tx",="01 F3 27 8C C6 27 B2 17 ",="..''..''..",="",="",=""
="17:54:49.751.274.420 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:54:49.751.360.600 086.180us",="Tx",="00 00 00 18 17 56 91 ",=".....V.",="",="",=""
="17:55:19.515.774.720 029.764s",="Tx",="11 00 2A C3 00 C3 10 FF ",="..* .....",="",="",=""
="17:55:19.515.860.680 085.960us",="Tx",="00 00 00 07 01 FF 00 00 ",="........",="",="",=""
="17:55:19.515.946.660 085.980us",="Tx",="EA 60 00 00 00 03 00 00 ",=".`......",="",="",=""
="17:55:19.516.032.640 085.980us",="Tx",="02 2E 27 8C FD 27 B2 69 ",="..''..''.i",="",="",=""
="17:55:19.516.118.640 086.000us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:55:19.516.204.800 086.160us",="Tx",="00 00 00 18 17 4E BB ",=".....N.",="",="",=""
="17:55:49.280.398.040 029.764s (Apr-11-2024)",="Tx",="11 00 2A E2 00 E2 10 FF ",="..* .....",="",="",=""
="17:55:49.280.484.020 085.980us",="Tx",="00 00 00 08 01 FF 00 00 ",="........",="",="",=""
="17:55:49.280.570.000 085.980us",="Tx",="EA 60 00 00 00 03 00 00 ",=".`......",="",="",=""
="17:55:49.280.656.020 086.020us",="Tx",="02 2E 27 8C FD 27 B2 69 ",="..''..''.i",="",="",=""
="17:55:49.280.741.980 085.960us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:55:49.280.828.120 086.140us",="Tx",="00 00 00 18 17 7D BD ",=".....}.",="",="",=""
="17:56:19.038.661.480 029.757s",="Tx",="11 00 2A 01 00 01 10 FF ",="..* .....",="",="",=""
="17:56:19.038.747.420 085.940us",="Tx",="00 00 00 09 01 FF 00 00 ",="........",="",="",=""
="17:56:19.038.833.360 085.940us",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="17:56:19.038.919.300 085.940us",="Tx",="02 68 27 8D 03 27 B2 60 ",=".h''..''.`",="",="",=""
="17:56:19.039.005.240 085.940us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:56:19.039.091.360 086.120us",="Tx",="00 00 00 18 17 B8 5D ",="......]",="",="",=""
="17:56:48.806.888.120 029.767s",="Tx",="11 00 2A 20 00 20 10 FF ",="..*  . ..",="",="",=""
="17:56:48.806.974.140 086.020us",="Tx",="00 00 00 0A 01 FF 00 00 ",="........",="",="",=""
="17:56:48.807.060.160 086.020us",="Tx",="EA 60 00 00 00 04 00 00 ",=".`......",="",="",=""
="17:56:48.807.146.180 086.020us",="Tx",="02 68 27 8D 03 27 B2 60 ",=".h''..''.`",="",="",=""
="17:56:48.807.232.200 086.020us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:56:48.807.318.360 086.160us",="Tx",="00 00 00 18 17 7A 21 ",=".....z!",="",="",=""
="17:57:18.567.582.760 029.760s",="Tx",="11 00 2A 3F 00 3F 10 FF ",="..* ?.?..",="",="",=""
="17:57:18.567.668.780 086.020us",="Tx",="00 00 00 0B 01 FF 00 00 ",="........",="",="",=""
="17:57:18.567.754.800 086.020us",="Tx",="EA 60 00 00 00 05 00 00 ",=".`......",="",="",=""
="17:57:18.567.840.800 086.000us",="Tx",="02 A3 27 8C C5 27 B2 4C ",="..''..''.L",="",="",=""
="17:57:18.567.926.820 086.020us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:57:18.568.012.980 086.160us",="Tx",="00 00 00 18 17 59 63 ",=".....Yc",="",="",=""
="17:57:48.327.797.200 029.759s",="Tx",="11 00 2A 5E 00 5E 10 FF ",="..* ^.^..",="",="",=""
="17:57:48.327.883.220 086.020us",="Tx",="00 00 00 0C 01 FF 00 00 ",="........",="",="",=""
="17:57:48.327.969.260 086.040us",="Tx",="EA 60 00 00 00 05 00 00 ",=".`......",="",="",=""
="17:57:48.328.055.280 086.020us",="Tx",="02 A3 27 8C C5 27 B2 4C ",="..''..''.L",="",="",=""
="17:57:48.328.141.300 086.020us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:57:48.328.227.500 086.200us",="Tx",="00 00 00 18 17 77 43 ",=".....wC",="",="",=""
="17:58:18.094.539.480 029.766s",="Tx",="11 00 2A 7D 00 7D 10 FF ",="..* }.}..",="",="",=""
="17:58:18.094.625.480 086.000us",="Tx",="00 00 00 0D 01 FF 00 00 ",="........",="",="",=""
="17:58:18.094.711.480 086.000us",="Tx",="EA 60 00 00 00 06 00 00 ",=".`......",="",="",=""
="17:58:18.094.797.460 085.980us",="Tx",="02 DD 27 8C C7 27 B1 FF ",="..''..''..",="",="",=""
="17:58:18.094.883.440 085.980us",="Tx",="00 00 00 00 00 00 00 00 ",="........",="",="",=""
="17:58:18.094.969.620 086.180us (Apr-11-2024)",="Tx",="00 00 00 18 17 D7 30 ",="......0",="",="",=""
="17:58:47.865.705.580 029.770s",="Tx",="11 00 2A 9C 00 9C 10 FF ",="..* .....",="",="",=""
="17:58:47.865.791.580 086.000us",="Tx",="00 00 00 0E 01 FF 00 00 ",="........",="",="",=""
="17:58:47.865.877.600 086.020us",="Tx",="EA 60 00 00 00 06 00 00 ",=".`......",="",="",=""
