Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="11:28:23.108.445.640 005.013ms",="Tx",="11 00 2A 2A 00 2A 10 F7 ",="..* * .* ..",="",="",=""
="11:28:23.108.531.580 085.940us",="Tx",="10 10 11 64 84 FF 00 00 ",="...d....",="",="",=""
="11:28:23.108.617.540 085.960us",="Tx",="EA 60 00 00 00 00 00 01 ",=".`......",="",="",=""
="11:28:23.108.703.480 085.940us",="Tx",="48 D7 27 8D 28 27 B2 18 ",="H.''.(''..",="",="",=""
="11:28:23.108.789.420 085.940us",="Tx",="00 00 00 00 EA 60 10 00 ",=".....`..",="",="",=""
="11:28:23.108.875.420 086.000us",="Tx",="00 00 B5 17 16 0C BE ",=".......",="",="",=""
="11:28:53.555.339.060 005.468ms",="Tx",="11 00 2A 49 00 49 10 F7 ",="..* I.I..",="",="",=""
="11:28:53.555.425.000 085.940us",="Tx",="10 10 11 65 84 FF 00 00 ",="...e....",="",="",=""
="11:28:53.555.510.960 085.960us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="11:28:53.555.596.840 085.880us",="Tx",="00 19 27 8C FA 27 B2 1E ",="..''..''..",="",="",=""
="11:28:53.555.682.760 085.920us",="Tx",="00 00 00 00 EA 60 10 00 ",=".....`..",="",="",=""
="11:28:53.555.768.740 085.980us",="Tx",="00 00 B5 17 16 1F 0C ",=".......",="",="",=""
="11:29:24.012.264.880 006.485ms",="Tx",="11 00 2A 68 00 68 10 F7 ",="..* h.h..",="",="",=""
="11:29:24.012.350.820 085.940us",="Tx",="10 10 11 66 84 FF 00 00 ",="...f....",="",="",=""
="11:29:24.012.436.740 085.920us",="Tx",="EA 60 00 00 00 01 00 00 ",=".`......",="",="",=""
="11:29:24.012.522.620 085.880us (Feb-07-2024)",="Tx",="00 19 27 8C FA 27 B2 1E ",="..''..''..",="",="",=""
="11:29:24.012.608.520 085.900us",="Tx",="00 00 00 00 EA 60 10 00 ",=".....`..",="",="",=""
="11:29:24.012.694.520 086.000us",="Tx",="00 00 B5 17 16 DD 70 ",="......p",="",="",=""
="11:29:54.463.003.200 004.905ms",="Tx",="11 00 2A 87 00 87 10 F7 ",="..* .....",="",="",=""
="11:29:54.463.089.140 085.940us",="Tx",="10 10 11 67 84 FF 00 00 ",="...g....",="",="",=""
="11:29:54.463.175.060 085.920us",="Tx",="EA 60 00 00 00 02 00 00 ",=".`......",="",="",=""
="11:29:54.463.260.940 085.880us",="Tx",="00 52 27 8D 01 27 B2 72 ",=".R''..''.r",="",="",=""
="11:29:54.463.346.840 085.900us",="Tx",="00 00 00 00 EA 60 10 00 ",=".....`..",="",="",=""
