Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""23:02:09.129.405.300 086.180us""",7,10,97,412967713,172,FF,60000,1076347013,00 00,10.000000596046519,1.5504350126308217,0,EA 60 A0 90,0,1,235,25,24
2,"=""23:02:38.893.605.240 086.000us""",9,10,97,412967714,172,FF,60000,1076347014,00 01,1.544775550934738,1.5505017698409282,0,EA 60 A0 90,0,0,235,25,24
3,"=""23:03:08.657.842.040 086.160us""",11,10,97,412967715,172,FF,60000,1076347014,00 01,1.544775550934738,1.5505017698409282,0,EA 60 A0 90,0,0,235,25,24
4,"=""23:03:38.408.553.300 086.160us""",13,10,97,412967716,172,FF,60000,1076347015,00 03,1.5447576695391738,1.550496405422259,0,EA 60 A0 90,0,0,235,25,24
5,"=""23:04:08.157.802.920 086.140us""",15,10,97,412967717,172,FF,60000,1076347015,00 03,1.5447576695391738,1.550496405422259,0,EA 60 A0 90,0,0,235,25,24
6,"=""23:04:37.904.241.500 086.160us""",17,10,97,412967718,172,FF,60000,1076347016,00 05,1.5447719746556252,1.550471371468469,0,EA 60 A0 90,0,0,235,25,24
7,"=""23:05:07.658.366.420 086.140us""",19,10,97,412967719,172,FF,60000,1076347016,00 05,1.5447719746556252,1.550471371468469,0,EA 60 A0 90,0,0,235,25,24
8,"=""23:05:37.411.503.980 086.140us""",21,10,97,412967720,172,FF,60000,1076347017,00 07,1.54476959046955,1.5504767358871383,0,EA 60 A0 90,0,0,235,25,24
9,"=""23:06:07.163.490.680 086.140us""",23,10,97,412967721,172,FF,60000,1076347017,00 07,1.54476959046955,1.5504767358871383,0,EA 60 A0 90,0,0,235,25,24
10,"=""23:06:36.928.204.140 086.160us""",25,10,97,412967722,172,FF,60000,1076347018,00 09,1.5447731667486628,1.5504719675149878,0,EA 60 A0 90,0,0,235,25,24
11,"=""23:07:06.696.282.880 086.180us""",27,10,97,412967723,172,FF,60000,1076347018,00 09,1.5447731667486628,1.5504719675149878,0,EA 60 A0 90,0,0,235,25,24
12,"=""23:07:36.456.892.420 086.140us""",29,10,97,412967724,172,FF,60000,1076347019,00 0B,1.5447654181439183,1.5504886568175145,0,EA 60 A0 90,0,0,235,25,24
13,"=""23:08:06.218.902.440 086.100us""",31,10,97,412967725,172,FF,60000,1076347019,00 0B,1.5447654181439183,1.5504886568175145,0,EA 60 A0 90,0,0,235,25,24
