Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""01:35:43.574.080.100 086.060us""",2,10,FF,1,1,FF,60000,0,00 00,0.0,0.0,0,00 00 00 00,0,0,0,24,23
2,"=""01:36:12.329.782.880 086.040us""",6,10,FF,2,1,FF,60000,0,00 00,0.0,0.0,0,00 00 00 00,0,0,0,24,23
3,"=""01:36:41.089.462.860 086.000us""",10,10,FF,3,1,FF,60000,1,00 04,10.000000596046519,1.5504201114678515,0,00 00 00 00,0,1,0,24,23
4,"=""01:37:09.844.639.640 086.080us""",14,10,FF,4,1,FF,60000,1,00 04,10.000000596046519,1.5504201114678515,0,00 00 00 00,0,1,0,24,23
5,"=""01:37:38.600.788.520 086.080us""",18,10,FF,5,1,FF,60000,2,00 0A,1.544782107446445,1.550406402397919,0,00 00 00 00,0,0,0,24,23
6,"=""01:38:07.360.589.520 086.040us""",22,10,FF,6,1,FF,60000,2,00 0A,1.544782107446445,1.550406402397919,0,00 00 00 00,0,0,0,24,23
7,"=""01:38:36.114.653.840 086.020us""",26,10,FF,7,1,FF,60000,3,00 10,1.5447892600046707,1.5504213035608891,0,00 00 00 00,0,0,0,24,23
8,"=""01:39:04.867.564.560 086.020us (Mar-14-2024)""",30,10,FF,8,1,FF,60000,3,00 10,1.5447892600046707,1.5504213035608891,0,00 00 00 00,0,0,0,24,23
9,"=""01:39:33.626.717.960 086.040us""",34,10,FF,9,1,FF,60000,4,00 16,1.5447832995394826,1.5504087865839942,0,00 00 00 00,0,0,0,24,23
10,"=""01:40:02.385.928.580 086.020us""",38,10,FF,10,1,FF,60000,4,00 16,1.5447832995394826,1.5504087865839942,0,00 00 00 00,0,0,0,24,23
11,"=""01:40:31.138.487.500 086.000us""",42,10,FF,11,1,FF,60000,5,00 1C,1.5447624379113243,1.550437396816897,0,00 00 00 00,0,0,0,24,23
12,"=""01:40:59.889.749.100 086.060us""",46,10,FF,12,1,FF,60000,5,00 1C,1.5447624379113243,1.550437396816897,0,00 00 00 00,0,0,0,24,23
13,"=""01:41:28.639.727.420 085.980us""",50,10,FF,13,1,FF,60000,6,00 22,1.5447606497717679,1.5504159391422199,0,00 00 00 00,0,0,0,24,23
14,"=""01:41:57.391.546.880 085.960us""",54,10,FF,14,1,FF,60000,6,00 22,1.5447606497717679,1.5504159391422199,0,00 00 00 00,0,0,0,24,23
15,"=""01:42:26.141.029.280 086.060us""",58,10,FF,15,1,FF,60000,7,00 28,1.5447773390742945,1.550424879840002,0,00 00 00 00,0,0,0,24,23
16,"=""01:42:54.889.091.800 086.000us""",62,10,FF,16,1,FF,60000,7,00 28,1.5447773390742945,1.550424879840002,0,00 00 00 00,0,0,0,24,23
17,"=""01:43:23.638.206.020 086.000us""",66,10,FF,17,1,FF,60000,8,00 2F,1.5448011809350468,1.550421899607408,0,00 00 00 00,0,0,0,24,23
18,"=""01:43:52.388.925.240 086.040us""",70,10,FF,18,1,FF,60000,8,00 2F,1.5448011809350468,1.550421899607408,0,00 00 00 00,0,0,0,24,23
19,"=""01:44:21.149.783.500 086.000us""",74,10,FF,19,1,FF,60000,9,00 35,1.544766610236956,1.550421899607408,0,00 00 00 00,0,0,0,24,23
20,"=""01:44:49.909.401.740 086.080us""",78,10,FF,20,1,FF,60000,9,00 35,1.544766610236956,1.550421899607408,0,00 00 00 00,0,0,0,24,23
21,"=""01:45:18.667.671.020 085.980us""",82,10,FF,21,1,FF,60000,10,00 3B,1.5447594576787302,1.5504302442586713,0,00 00 00 00,0,0,0,24,23
22,"=""01:45:47.423.981.960 086.020us""",86,10,FF,22,1,FF,60000,10,00 3B,1.5447594576787302,1.5504302442586713,0,00 00 00 00,0,0,0,24,23
23,"=""01:46:16.181.215.100 086.000us""",90,10,FF,23,1,FF,60000,11,00 41,1.544778531167332,1.55043084030519,0,00 00 00 00,0,0,0,24,23
24,"=""01:46:44.940.549.360 086.020us""",94,10,FF,24,1,FF,60000,11,00 41,1.544778531167332,1.55043084030519,0,00 00 00 00,0,0,0,24,23
25,"=""01:47:13.703.012.740 086.020us""",98,10,FF,25,1,FF,60000,12,00 47,1.5448041611676409,1.550427860072596,0,00 00 00 00,0,0,0,24,23
26,"=""01:47:42.468.984.720 086.040us""",102,10,FF,26,1,FF,60000,12,00 47,1.5448041611676409,1.550427860072596,0,00 00 00 00,0,0,0,24,23
27,"=""01:48:11.231.330.180 086.020us""",106,10,FF,27,1,FF,60000,13,00 4D,1.5447838955860014,1.550418323328295,0,00 00 00 00,0,0,0,24,23
28,"=""01:48:39.992.552.600 086.000us (Mar-14-2024)""",110,10,FF,28,1,FF,60000,13,00 4D,1.5447838955860014,1.550418323328295,0,00 00 00 00,0,0,0,24,23
29,"=""01:49:08.756.158.380 086.020us""",114,10,FF,29,1,FF,60000,14,00 53,1.5447713786091064,1.550434416584303,0,00 00 00 00,0,0,0,24,23
30,"=""01:49:37.522.067.140 086.020us""",118,10,FF,30,1,FF,60000,14,00 53,1.5447713786091064,1.550434416584303,0,00 00 00 00,0,0,0,24,23
31,"=""01:50:06.281.602.180 086.060us""",122,10,FF,31,1,FF,60000,15,00 59,1.5447558813996174,1.5504451454216415,0,00 00 00 00,0,0,0,24,23
32,"=""01:50:35.039.730.380 086.020us""",126,10,FF,32,1,FF,60000,15,00 59,1.5447558813996174,1.5504451454216415,0,00 00 00 00,0,0,0,24,23
33,"=""01:51:03.794.732.080 086.040us""",130,10,FF,33,1,FF,60000,16,00 5F,1.5447904520977083,1.5503915012349487,0,00 00 00 00,0,0,0,24,23
34,"=""01:51:32.559.295.040 086.020us""",134,10,FF,34,1,FF,60000,16,00 5F,1.5447904520977083,1.5503915012349487,0,00 00 00 00,0,0,0,24,23
35,"=""01:52:01.320.472.560 086.000us""",138,10,FF,35,1,FF,60000,17,00 65,1.5447558813996174,1.5504266679795584,0,00 00 00 00,0,0,0,24,23
36,"=""01:52:30.083.705.880 085.980us""",142,10,FF,36,1,FF,60000,17,00 65,1.5447558813996174,1.5504266679795584,0,00 00 00 00,0,0,0,24,23
37,"=""01:52:58.843.885.540 086.000us""",146,10,FF,37,1,FF,60000,18,00 6B,1.5447827034929638,1.550446933561198,0,00 00 00 00,0,0,0,24,23
38,"=""01:53:27.605.268.960 086.000us""",150,10,FF,38,1,FF,60000,18,00 6B,1.5447827034929638,1.550446933561198,0,00 00 00 00,0,0,0,24,23
39,"=""01:53:56.369.179.700 086.000us""",154,10,FF,39,1,FF,60000,19,00 71,1.5447815113999261,1.5504385889099346,0,00 00 00 00,0,0,0,24,23
40,"=""01:54:25.133.617.840 086.000us""",158,10,FF,40,1,FF,60000,19,00 71,1.5447815113999261,1.5504385889099346,0,00 00 00 00,0,0,0,24,23
41,"=""01:54:53.895.731.340 086.000us""",162,10,FF,41,1,FF,60000,20,00 77,1.544772570702144,1.550418323328295,0,00 00 00 00,0,0,0,24,23
42,"=""01:55:22.650.878.500 085.960us""",166,10,FF,42,1,FF,60000,20,00 77,1.544772570702144,1.550418323328295,0,00 00 00 00,0,0,0,24,23
43,"=""01:55:51.405.486.860 086.000us""",170,10,FF,43,1,FF,60000,21,00 7D,1.5447773390742945,1.5504564703054988,0,00 00 00 00,0,0,0,24,23
44,"=""01:56:20.159.109.500 086.040us""",174,10,FF,44,1,FF,60000,21,00 7D,1.5447773390742945,1.5504564703054988,0,00 00 00 00,0,0,0,24,23
45,"=""01:56:48.916.011.820 086.000us""",178,10,FF,45,1,FF,60000,22,00 83,1.5447660141904371,1.5504260719330396,0,00 00 00 00,0,0,0,24,23
46,"=""01:57:17.667.098.340 086.020us""",182,10,FF,46,1,FF,60000,22,00 83,1.5447660141904371,1.5504260719330396,0,00 00 00 00,0,0,0,24,23
47,"=""01:57:46.419.606.900 086.000us""",186,10,FF,47,1,FF,60000,23,00 89,1.5447487288413917,1.5503932893745052,0,00 00 00 00,0,0,0,24,23
48,"=""01:58:15.170.125.800 086.000us (Mar-14-2024)""",190,10,FF,48,1,FF,60000,23,00 89,1.5447487288413917,1.5503932893745052,0,00 00 00 00,0,0,0,24,23
49,"=""01:58:43.929.300.340 086.080us""",194,10,FF,49,1,FF,60000,24,00 8F,1.5447970086094152,1.5504266679795584,0,00 00 00 00,0,0,0,24,23
50,"=""01:59:12.686.334.980 085.980us""",198,10,FF,50,1,FF,60000,24,00 8F,1.5447970086094152,1.5504266679795584,0,00 00 00 00,0,0,0,24,23
51,"=""01:59:41.443.231.820 085.980us""",202,10,FF,51,1,FF,60000,25,00 95,1.5447844916325202,1.550427860072596,0,00 00 00 00,0,0,0,24,23
52,"=""02:00:10.197.098.620 085.980us""",206,10,FF,52,1,FF,60000,25,00 95,1.5447844916325202,1.550427860072596,0,00 00 00 00,0,0,0,24,23
53,"=""02:00:38.950.272.820 086.020us""",210,10,FF,53,1,FF,60000,26,00 9B,1.5447761469812569,1.5504201114678515,0,00 00 00 00,0,0,0,24,23
