Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""11:41:43.982.030.860 086.060us""",33,10,FF,2,1,FF,60000,0,00 00,0.0,0.0,0,00 00 00 00,0,0,0,24,23
2,"=""11:42:14.438.763.440 086.040us""",64,10,FF,3,1,FF,60000,1,00 2E,10.000000596046519,1.5505440891437636,0,00 00 00 00,0,1,0,24,23
3,"=""11:42:44.895.423.360 086.060us""",95,10,FF,4,1,FF,60000,1,00 2E,10.000000596046519,1.5505440891437636,0,00 00 00 00,0,1,0,24,23
4,"=""11:43:15.357.263.580 085.980us""",126,10,FF,5,1,FF,60000,2,00 67,1.5448572093078148,1.5505154789108608,0,00 00 00 00,0,0,0,24,23
5,"=""11:43:45.817.503.620 086.000us""",157,10,FF,6,1,FF,60000,2,00 67,1.5448572093078148,1.5505154789108608,0,00 00 00 00,0,0,0,24,23
6,"=""11:44:16.276.097.980 086.020us""",188,10,FF,7,1,FF,60000,3,00 A0,1.5448417120983258,1.5505327642599063,0,00 00 00 00,0,0,0,24,23
7,"=""11:44:46.737.905.780 086.080us""",219,10,FF,8,1,FF,60000,3,00 A0,1.5448417120983258,1.5505327642599063,0,00 00 00 00,0,0,0,24,23
8,"=""11:45:17.198.634.060 086.040us""",250,10,FF,9,1,FF,60000,4,00 D9,1.544881051168567,1.5505542219345834,0,00 00 00 00,0,0,0,24,23
9,"=""11:45:47.658.618.740 086.000us""",25,10,FF,10,1,FF,60000,4,00 D9,1.544881051168567,1.5505542219345834,0,00 00 00 00,0,0,0,24,23
10,"=""11:46:18.117.756.340 086.000us""",10,10,FF,11,2,FF,60000,5,00 00,0.0,0.0,0,00 00 00 00,0,0,0,24,23
11,"=""11:46:48.577.339.220 086.020us""",41,10,FF,12,2,FF,60000,5,00 00,0.0,0.0,0,00 00 00 00,0,0,0,24,23
12,"=""11:47:19.037.769.940 086.000us""",72,10,FF,13,2,FF,60000,6,01 5C,10.000000596046519,1.550521439376049,0,00 00 00 00,0,1,0,24,23
13,"=""11:47:49.495.857.720 086.000us""",103,10,FF,14,2,FF,60000,6,01 5C,10.000000596046519,1.550521439376049,0,00 00 00 00,0,1,0,24,23
14,"=""11:48:19.951.893.300 086.000us""",134,10,FF,15,2,FF,60000,7,01 95,1.5448673420986345,1.5505375326320567,0,00 00 00 00,0,0,0,24,23
15,"=""11:48:50.415.085.620 085.980us""",165,10,FF,16,2,FF,60000,7,01 95,1.5448673420986345,1.5505375326320567,0,00 00 00 00,0,0,0,24,23
16,"=""11:49:20.877.107.680 085.980us""",196,10,FF,17,2,FF,60000,8,01 CE,1.544878070935973,1.5505291879807934,0,00 00 00 00,0,0,0,24,23
17,"=""11:49:51.334.836.080 086.000us""",227,10,FF,18,2,FF,60000,8,01 CE,1.544878070935973,1.5505291879807934,0,00 00 00 00,0,0,0,24,23
18,"=""11:50:21.799.501.560 086.000us""",2,10,FF,19,2,FF,60000,9,02 08,1.5448423081448446,1.5505595863532526,0,00 00 00 00,0,0,0,24,23
19,"=""11:50:52.264.641.640 086.000us""",33,10,FF,20,2,FF,60000,9,02 08,1.5448423081448446,1.5505595863532526,0,00 00 00 00,0,0,0,24,23
20,"=""11:51:22.721.244.500 085.980us""",64,10,FF,21,2,FF,60000,10,02 41,1.5448578053543336,1.5505500496089517,0,00 00 00 00,0,0,0,24,23
21,"=""11:51:53.180.327.380 085.980us""",18,10,FF,22,3,FF,60000,11,00 00,0.0,0.0,0,00 00 00 00,0,0,0,24,23
22,"=""11:52:23.632.658.360 086.040us""",49,10,FF,23,3,FF,60000,11,00 00,0.0,0.0,0,00 00 00 00,0,0,0,24,23
23,"=""11:52:54.089.698.560 085.980us""",80,10,FF,24,3,FF,60000,12,02 9E,10.000000596046519,1.5505083263526351,0,00 00 00 00,0,1,0,24,23
24,"=""11:53:24.548.925.040 086.020us""",23,10,FF,25,4,FF,60000,13,00 00,0.0,0.0,0,00 00 00 00,0,1,0,24,23
25,"=""11:53:55.001.424.160 086.040us""",54,10,FF,26,4,FF,60000,13,00 00,0.0,0.0,0,00 00 00 00,0,1,0,24,23
