Times,Time,CMD accept cnt.,last accept CMD,last error CMD,_hk_number_,reboot_cnt,mode_status,_sample_rate_,_sci_write_num_,_sci_time_,R1,R2,_seu_count_,_sci_read_num_,CMD err cnt.,RADFET err cnt.,WDT err cnt,SOM Tmp.,RADFET Tmp.
1,"=""23:22:31.887.680.880 086.020us""",2,11,FF,2,1,FF,60000,0,00 00,0.0,0.0,0,00 00 00 00,0,0,0,23,22
2,"=""23:23:02.312.629.800 086.040us""",3,11,FF,3,1,FF,60000,1,00 00,10.000000596046519,1.5506668747266381,0,00 00 00 00,0,1,0,23,22
3,"=""23:23:32.742.595.680 086.020us""",4,11,FF,4,1,FF,60000,1,00 00,10.000000596046519,1.5506668747266381,0,00 00 00 00,0,1,0,23,22
4,"=""23:24:03.168.850.380 086.000us""",5,11,FF,5,1,FF,60000,2,00 00,1.5450020486118852,1.5506931007734657,0,00 00 00 00,0,0,0,23,22
5,"=""23:24:33.598.441.760 086.060us""",6,11,FF,6,1,FF,60000,2,00 00,1.5450020486118852,1.5506931007734657,0,00 00 00 00,0,0,0,23,22
6,"=""23:25:04.026.713.040 086.000us""",7,11,FF,7,1,FF,60000,3,00 00,1.545018141867893,1.5507026375177666,0,00 00 00 00,0,0,0,23,22
7,"=""23:25:34.455.496.680 086.020us""",8,11,FF,8,1,FF,60000,3,00 00,1.545018141867893,1.5507026375177666,0,00 00 00 00,0,0,0,23,22
8,"=""23:26:04.885.004.840 086.020us""",9,11,FF,9,1,FF,60000,4,00 00,1.54497463047202,1.5506931007734657,0,00 00 00 00,0,0,0,23,22
9,"=""23:26:35.316.529.020 086.040us""",10,11,FF,10,1,FF,60000,4,00 00,1.54497463047202,1.5506931007734657,0,00 00 00 00,0,0,0,23,22
10,"=""23:27:05.747.084.080 085.980us""",11,11,FF,11,1,FF,60000,5,00 00,1.544990127681509,1.550636476354179,0,00 00 00 00,0,0,0,23,22
11,"=""23:27:36.176.796.360 086.000us""",12,11,FF,12,1,FF,60000,5,00 00,1.544990127681509,1.550636476354179,0,00 00 00 00,0,0,0,23,22
12,"=""23:28:06.604.346.580 086.000us""",13,11,FF,13,1,FF,60000,6,00 00,1.5449990683792911,1.5506668747266381,0,00 00 00 00,0,0,0,23,22
13,"=""23:28:37.031.887.440 086.100us""",14,11,FF,14,1,FF,60000,6,00 00,1.5449990683792911,1.5506668747266381,0,00 00 00 00,0,0,0,23,22
14,"=""23:29:07.460.305.740 086.040us""",15,11,FF,15,1,FF,60000,7,00 00,1.5450187379144118,1.550688928447834,0,00 00 00 00,0,0,0,23,22
15,"=""23:29:37.891.151.560 086.020us""",16,11,FF,16,1,FF,60000,8,00 00,1.5450539046590215,1.5507032335642854,0,00 00 00 00,0,0,0,23,22
16,"=""23:30:08.324.906.120 085.980us (Feb-03-2024)""",17,11,FF,17,1,FF,60000,8,00 00,1.5450539046590215,1.5507032335642854,0,00 00 00 00,0,0,0,23,22
17,"=""23:30:38.758.983.860 086.000us""",18,11,FF,18,1,FF,60000,9,00 00,1.5450133734957425,1.5507330358902258,0,00 00 00 00,0,0,0,23,22
18,"=""23:31:09.191.775.440 085.980us""",19,11,FF,19,1,FF,60000,9,00 00,1.5450133734957425,1.5507330358902258,0,00 00 00 00,0,0,0,23,22
19,"=""23:31:39.621.814.260 086.080us""",20,11,FF,20,1,FF,60000,10,00 00,1.5450092011701109,1.5506901205408716,0,00 00 00 00,0,0,0,23,22
20,"=""23:32:10.055.907.700 085.980us""",21,11,FF,21,1,FF,60000,10,00 00,1.5450092011701109,1.5506901205408716,0,00 00 00 00,0,0,0,23,22
21,"=""23:32:40.495.860.620 086.000us""",22,11,FF,22,1,FF,60000,11,00 00,1.5450294667517503,1.5507318437971882,0,00 00 00 00,0,0,0,23,22
22,"=""23:33:10.932.697.000 086.020us""",23,11,FF,23,1,FF,60000,11,00 00,1.5450294667517503,1.5507318437971882,0,00 00 00 00,0,0,0,23,22
23,"=""23:33:41.374.089.160 086.020us""",24,11,FF,24,1,FF,60000,12,00 00,1.545033639077382,1.5506883324013152,0,00 00 00 00,0,0,0,23,22
24,"=""23:34:11.812.631.640 085.980us""",25,11,FF,25,1,FF,60000,12,00 00,1.545033639077382,1.5506883324013152,0,00 00 00 00,0,0,0,23,22
25,"=""23:34:42.250.695.540 086.060us""",26,11,FF,26,1,FF,60000,13,00 00,1.545021122100487,1.550707405889917,0,00 00 00 00,0,0,0,23,22
26,"=""23:35:12.690.471.880 086.020us""",27,11,FF,27,1,FF,60000,13,00 00,1.545021122100487,1.550707405889917,0,00 00 00 00,0,0,0,23,22
27,"=""23:35:43.129.929.440 085.980us""",28,11,FF,28,1,FF,60000,14,00 00,1.5450354272169384,1.5506823719361271,0,00 00 00 00,0,0,0,23,22
28,"=""23:36:13.560.427.340 086.020us""",29,11,FF,29,1,FF,60000,14,00 00,1.5450354272169384,1.5506823719361271,0,00 00 00 00,0,0,0,23,22
29,"=""23:36:43.991.963.400 086.040us""",30,11,FF,30,1,FF,60000,15,00 00,1.545033639077382,1.5507032335642854,0,00 00 00 00,0,0,0,23,22
30,"=""23:37:14.416.955.800 085.980us""",31,11,FF,31,1,FF,60000,15,00 00,1.545033639077382,1.5507032335642854,0,00 00 00 00,0,0,0,23,22
31,"=""23:37:44.838.630.460 086.000us""",32,11,FF,32,1,FF,60000,16,00 00,1.5450246983795999,1.5506907165873904,0,00 00 00 00,0,0,0,23,22
32,"=""23:38:15.269.483.420 085.980us""",33,11,FF,33,1,FF,60000,16,00 00,1.5450246983795999,1.5506907165873904,0,00 00 00 00,0,0,0,23,22
33,"=""23:38:45.699.441.720 086.020us""",34,11,FF,34,1,FF,60000,17,00 00,1.5450258904726375,1.550741976588008,0,00 00 00 00,0,0,0,23,22
34,"=""23:39:16.129.660.260 085.980us""",1,11,FF,35,2,FF,60000,18,00 00,0.0,0.0,0,00 00 00 00,0,0,0,23,22
35,"=""23:39:46.566.844.180 086.040us""",2,11,FF,36,2,FF,60000,19,00 00,10.000000596046519,1.5506960810060597,0,00 00 00 00,0,1,0,23,22
36,"=""23:40:17.002.985.880 085.980us (Feb-03-2024)""",3,11,FF,37,2,FF,60000,19,00 00,10.000000596046519,1.5506960810060597,0,00 00 00 00,0,1,0,23,22
37,"=""23:40:47.439.773.500 086.000us""",4,11,FF,38,2,FF,60000,20,00 00,1.5450449639612394,1.5507002533316914,0,00 00 00 00,0,0,0,23,22
38,"=""23:41:17.877.907.940 085.980us""",5,11,FF,39,2,FF,60000,20,00 00,1.5450449639612394,1.5507002533316914,0,00 00 00 00,0,0,0,23,22
39,"=""23:41:48.317.578.880 086.000us""",6,11,FF,40,2,FF,60000,21,00 00,1.545036619309976,1.55075091728579,0,00 00 00 00,0,0,0,23,22
40,"=""23:42:18.756.097.960 085.980us""",7,11,FF,41,2,FF,60000,21,00 00,1.545036619309976,1.55075091728579,0,00 00 00 00,0,0,0,23,22
41,"=""23:42:49.190.371.100 085.980us""",8,11,FF,42,2,FF,60000,22,00 00,1.5450169497748554,1.5507097900759923,0,00 00 00 00,0,0,0,23,22
42,"=""23:43:19.616.542.920 086.020us""",9,11,FF,43,2,FF,60000,22,00 00,1.5450169497748554,1.5507097900759923,0,00 00 00 00,0,0,0,23,22
43,"=""23:43:50.044.664.960 085.940us""",10,11,FF,44,2,FF,60000,23,00 00,1.5450199300074494,1.5507085979829547,0,00 00 00 00,0,0,0,23,22
44,"=""23:44:20.475.886.060 086.000us""",11,11,FF,45,2,FF,60000,23,00 00,1.5450199300074494,1.5507085979829547,0,00 00 00 00,0,0,0,23,22
45,"=""23:44:50.910.557.660 085.940us""",12,11,FF,46,2,FF,60000,24,00 00,1.5450205260539682,1.5506942928665033,0,00 00 00 00,0,0,0,23,22
46,"=""23:45:21.337.508.820 085.980us""",13,11,FF,47,2,FF,60000,24,00 00,1.5450205260539682,1.5506942928665033,0,00 00 00 00,0,0,0,23,22
47,"=""23:45:51.768.755.180 086.000us""",14,11,FF,48,2,FF,60000,25,00 00,1.5450187379144118,1.5507020414712478,0,00 00 00 00,0,0,0,23,22
48,"=""23:46:22.199.839.720 085.960us""",15,11,FF,49,2,FF,60000,25,00 00,1.5450187379144118,1.5507020414712478,0,00 00 00 00,0,0,0,23,22
49,"=""23:46:52.631.915.740 086.020us""",16,11,FF,50,2,FF,60000,26,00 00,1.5449752265185388,1.550716942634218,0,00 00 00 00,0,0,0,23,22
50,"=""23:47:23.061.858.100 085.980us""",17,11,FF,51,2,FF,60000,26,00 00,1.5449752265185388,1.550716942634218,0,00 00 00 00,0,0,0,23,22
51,"=""23:47:53.494.526.000 085.960us""",18,11,FF,52,2,FF,60000,27,00 00,1.5450449639612394,1.5507121742620675,0,00 00 00 00,0,0,0,23,22
52,"=""23:48:23.929.722.760 085.960us""",19,11,FF,53,2,FF,60000,27,00 00,1.5450449639612394,1.5507121742620675,0,00 00 00 00,0,0,0,23,22
53,"=""23:48:54.361.798.900 086.000us""",20,11,FF,54,2,FF,60000,28,00 00,1.5450270825656751,1.5507217110063685,0,00 00 00 00,0,0,0,23,22
54,"=""23:49:24.796.047.940 086.040us""",21,11,FF,55,2,FF,60000,29,00 00,1.5450455600077582,1.5507240951924437,0,00 00 00 00,0,0,0,23,22
55,"=""23:49:55.219.767.140 085.980us""",22,11,FF,56,2,FF,60000,29,00 00,1.5450455600077582,1.5507240951924437,0,00 00 00 00,0,0,0,23,22
56,"=""23:50:25.649.526.340 085.940us (Feb-03-2024)""",23,11,FF,57,2,FF,60000,30,00 00,1.5450467521007958,1.5507080019364359,0,00 00 00 00,0,0,0,23,22
57,"=""23:50:56.080.117.940 085.960us""",24,11,FF,58,2,FF,60000,30,00 00,1.5450467521007958,1.5507080019364359,0,00 00 00 00,0,0,0,23,22
58,"=""23:51:26.512.218.360 085.980us""",25,11,FF,59,2,FF,60000,31,00 00,1.5450312548913068,1.550691908680428,0,00 00 00 00,0,0,0,23,22
59,"=""23:51:56.942.340.380 085.980us""",26,11,FF,60,2,FF,60000,31,00 00,1.5450312548913068,1.550691908680428,0,00 00 00 00,0,0,0,23,22
60,"=""23:52:27.372.402.340 085.980us""",27,11,FF,61,2,FF,60000,32,00 00,1.5450157576818178,1.5506942928665033,0,00 00 00 00,0,0,0,23,22
61,"=""23:52:57.803.628.500 086.060us""",28,11,FF,62,2,FF,60000,32,00 00,1.5450157576818178,1.5506942928665033,0,00 00 00 00,0,0,0,23,22
