Timestamp (h:m:s.ms.us.ns dur),Status,Data(h),ASCII,Parity Error,Stop Bit Error,Information,
="",="",="",="",="",="",="*** Capture Started"
="09:12:15.232.663.500 086.340us",="Tx",="00 00 00 56 02 FF 00 00 ",="...V....",="",="",=""
="09:12:15.232.749.840 086.340us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:15.232.836.180 086.340us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:15.232.922.520 086.340us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:15.233.008.900 086.380us",="Tx",="00 00 00 1A 18 BF 83 ",=".......",="",="",=""
="09:12:16.262.588.880 004.098ms",="Tx",="11 00 2A 3E 00 3E 10 FF ",="..* >.>..",="",="",=""
="09:12:16.262.675.200 086.320us",="Tx",="00 00 00 57 02 FF 00 00 ",="...W....",="",="",=""
="09:12:16.262.761.540 086.340us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:16.262.847.860 086.320us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:16.262.934.200 086.340us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:16.263.020.520 086.320us",="Tx",="00 00 00 1A 18 73 48 ",=".....sH",="",="",=""
="09:12:17.292.783.380 004.081ms",="Tx",="11 00 2A 40 00 40 10 FF ",="..* @.@..",="",="",=""
="09:12:17.292.869.760 086.380us",="Tx",="00 00 00 58 02 FF 00 00 ",="...X....",="",="",=""
="09:12:17.292.956.120 086.360us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:17.293.042.480 086.360us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:17.293.128.840 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:17.293.215.160 086.320us",="Tx",="00 00 00 1A 18 D1 2A ",="......* ",="",="",=""
="09:12:18.322.943.460 004.080ms",="Tx",="11 00 2A 42 00 42 10 FF ",="..* B.B..",="",="",=""
="09:12:18.323.029.800 086.340us",="Tx",="00 00 00 59 02 FF 00 00 ",="...Y....",="",="",=""
="09:12:18.323.116.140 086.340us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:18.323.202.480 086.340us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:18.323.288.840 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:18.323.375.180 086.340us",="Tx",="00 00 00 1A 18 1D E1 ",=".......",="",="",=""
="09:12:19.353.052.340 004.081ms",="Tx",="11 00 2A 44 00 44 10 FF ",="..* D.D..",="",="",=""
="09:12:19.353.138.720 086.380us",="Tx",="00 00 00 5A 02 FF 00 00 ",="...Z....",="",="",=""
="09:12:19.353.225.040 086.320us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:19.353.311.360 086.320us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:19.353.397.700 086.340us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:19.353.484.060 086.360us",="Tx",="00 00 00 1A 18 58 9D ",=".....X.",="",="",=""
="09:12:20.383.243.880 004.111ms",="Tx",="11 00 2A 46 00 46 10 FF ",="..* F.F..",="",="",=""
="09:12:20.383.330.260 086.380us",="Tx",="00 00 00 5B 02 FF 00 00 ",="...[....",="",="",=""
="09:12:20.383.416.620 086.360us",="Tx",="3A 99 00 00 00 15 00 00 ",=":.......",="",="",=""
="09:12:20.383.503.000 086.380us",="Tx",="00 00 23 E3 6D 22 A9 A2 ",="..#.m""..",="",="",=""
="09:12:20.383.589.380 086.380us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:20.383.675.780 086.400us",="Tx",="00 00 00 1A 18 94 56 ",="......V",="",="",=""
="09:12:21.413.786.560 004.469ms",="Tx",="11 00 2A 48 00 48 10 FF ",="..* H.H..",="",="",=""
="09:12:21.413.872.940 086.380us",="Tx",="00 00 00 5C 02 FF 00 00 ",="...\....",="",="",=""
="09:12:21.413.959.320 086.380us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:21.414.045.700 086.380us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:21.414.132.060 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:21.414.218.420 086.360us",="Tx",="00 00 00 1A 18 9E E7 ",=".......",="",="",=""
="09:12:22.444.237.420 004.914ms",="Tx",="11 00 2A 4A 00 4A 10 FF ",="..* J.J..",="",="",=""
="09:12:22.444.323.780 086.360us",="Tx",="00 00 00 5D 02 FF 00 00 ",="...]....",="",="",=""
="09:12:22.444.410.120 086.340us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:22.444.496.460 086.340us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:22.444.582.820 086.360us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:22.444.669.160 086.340us",="Tx",="00 00 00 1A 18 52 2C ",".....R,",="",="",=""
="09:12:23.474.595.380 005.183ms",="Tx",="11 00 2A 4C 00 4C 10 FF ",="..* L.L..",="",="",=""
="09:12:23.474.681.760 086.380us",="Tx",="00 00 00 5E 02 FF 00 00 ",="...^....",="",="",=""
="09:12:23.474.768.160 086.400us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:23.474.854.540 086.380us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:23.474.940.940 086.400us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:23.475.027.340 086.400us",="Tx",="00 00 00 1A 18 17 50 ",="......P",="",="",=""
="09:12:24.505.029.220 005.546ms",="Tx",="11 00 2A 4E 00 4E 10 FF ",="..* N.N..",="",="",=""
="09:12:24.505.115.580 086.360us",="Tx",="00 00 00 5F 02 FF 00 00 ",="..._....",="",="",=""
="09:12:24.505.201.940 086.360us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
="09:12:24.505.288.340 086.400us",="Tx",="00 0E 23 E3 4A 22 A9 92 ",="..#.J""..",="",="",=""
="09:12:24.505.374.740 086.400us",="Tx",="00 00 00 00 00 00 00 0E ",="........",="",="",=""
="09:12:24.505.461.120 086.380us",="Tx",="00 00 00 1A 18 DB 9B ",=".......",="",="",=""
="09:12:25.535.458.860 005.866ms",="Tx",="11 00 2A 50 00 50 10 FF ",="..* P.P..",="",="",=""
="09:12:25.535.545.260 086.400us",="Tx",="00 00 00 60 02 FF 00 00 ",="...`....",="",="",=""
="09:12:25.535.631.660 086.400us",="Tx",="3A 99 00 00 00 16 00 00 ",=":.......",="",="",=""
