17:01:44.626.387.460 006.093ms,Tx,11 00 2A 96 08 9E 10 2D ,..* ....-,,,
17:01:44.626.473.600 086.140us,Tx,00 00 6C 48 01 FF 00 00 ,..lH....,,,
17:01:44.626.559.760 086.160us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:44.626.645.900 086.140us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:44.626.732.060 086.160us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:44.626.818.220 086.160us,Tx,00 00 00 04 01 59 A6 ,.....Y.,,,
17:01:45.656.872.880 006.330ms,Tx,11 00 2A 98 08 A0 10 2D ,..* ....-,,,
17:01:45.656.958.980 086.100us,Tx,00 00 6C 49 01 FF 00 00 ,..lI....,,,
17:01:45.657.045.120 086.140us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:45.657.131.260 086.140us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:45.657.217.380 086.120us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:45.657.303.520 086.140us,Tx,00 00 00 04 01 7B BA ,.....{.,,,
17:01:46.684.618.080 003.877ms,Tx,11 00 2A 9A 08 A2 10 2D ,..* ....-,,,
17:01:46.684.704.160 086.080us,Tx,00 00 6C 4A 01 FF 00 00 ,..lJ....,,,
17:01:46.684.790.260 086.100us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:46.684.876.360 086.100us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:46.684.962.440 086.080us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:46.685.048.540 086.100us,Tx,00 00 00 04 01 9F 1A ,.......,,,
17:01:47.714.625.160 003.876ms,Tx,11 00 2A 9C 08 A4 10 2D ,..* ....-,,,
17:01:47.714.711.220 086.060us,Tx,00 00 6C 4B 01 FF 00 00 ,..lK....,,,
17:01:47.714.797.280 086.060us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:47.714.883.360 086.080us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:47.714.969.440 086.080us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:47.715.055.540 086.100us,Tx,00 00 00 04 01 F2 0D ,.......,,,
17:01:48.744.866.540 004.115ms,Tx,11 00 2A 9E 08 A6 10 2D ,..* ....-,,,
17:01:48.744.952.640 086.100us,Tx,00 00 6C 4C 01 FF 00 00 ,..lL....,,,
17:01:48.745.038.720 086.080us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:48.745.124.800 086.080us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:48.745.210.900 086.100us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:48.745.297.020 086.120us,Tx,00 00 00 04 01 46 7B ,.....F{,,,
17:01:49.775.283.880 004.492ms,Tx,11 00 2A A0 08 A8 10 2D ,..* ....-,,,
17:01:49.775.370.000 086.120us,Tx,00 00 6C 4D 01 FF 00 00 ,..lM....,,,
17:01:49.775.456.120 086.120us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:49.775.542.220 086.100us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:49.775.628.360 086.140us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:49.775.714.500 086.140us,Tx,00 00 00 04 01 9D 10 ,.......,,,
17:01:50.805.680.260 004.723ms,Tx,11 00 2A A2 08 AA 10 2D ,..* ....-,,,
17:01:50.805.766.340 086.080us,Tx,00 00 6C 4E 01 FF 00 00 ,..lN....,,,
17:01:50.805.852.420 086.080us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:50.805.938.500 086.080us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:50.806.024.580 086.080us,Tx,00 00 00 00 00 00 00 00 ,........,,,
17:01:50.806.110.680 086.100us,Tx,00 00 00 04 01 79 B0 ,.....y.,,,
17:01:51.836.062.840 004.706ms,Tx,11 00 2A A4 08 AC 10 2D ,..* ....-,,,
17:01:51.836.148.940 086.100us,Tx,00 00 6C 4F 01 FF 00 00 ,..lO....,,,
17:01:51.836.235.040 086.100us,Tx,3A 99 00 00 06 D2 00 00 ,:.......,,,
17:01:51.836.321.140 086.100us,Tx,62 42 23 DF EF 22 AB 05 ,"bB#..""..",,,
17:01:51.836.407.220 086.080us,Tx,00 00 00 00 00 00 00 00 ,........,,,
