16:59:16.960.778.240 003.906ms,Tx,11 00 2A 24 01 25 10 13 ,..* $.%..,,,
16:59:16.960.864.420 086.180us,Tx,00 00 31 7A 01 FF 00 00 ,..1z....,,,
16:59:16.960.950.560 086.140us,Tx,3A 99 00 00 02 F6 00 00 ,:.......,,,
16:59:16.961.036.700 086.140us,Tx,2A 11 23 E0 9C 22 AB 87 ,"* .#..""..",,,
16:59:16.961.122.840 086.140us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:16.961.209.020 086.180us,Tx,00 00 00 03 01 AB AD ,.......,,,
16:59:17.991.564.260 004.477ms,Tx,11 00 2A 26 01 27 10 13 ,..* &.''..,,,
16:59:17.991.650.420 086.160us,Tx,00 00 31 7B 01 FF 00 00 ,..1{....,,,
16:59:17.991.736.600 086.180us,Tx,3A 99 00 00 02 F6 00 00 ,:.......,,,
16:59:17.991.822.780 086.180us,Tx,2A 11 23 E0 9C 22 AB 87 ,"* .#..""..",,,
16:59:17.991.908.960 086.180us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:17.991.995.140 086.180us,Tx,00 00 00 03 01 67 66 ,.....gf,,,
16:59:19.022.444.360 004.926ms,Tx,11 00 2A 28 01 29 10 13 ,..* (.)..,,,
16:59:19.022.530.500 086.140us,Tx,00 00 31 7C 01 FF 00 00 ,..1|....,,,
16:59:19.022.616.620 086.120us,Tx,3A 99 00 00 02 F6 00 00 ,:.......,,,
16:59:19.022.702.760 086.140us,Tx,2A 11 23 E0 9C 22 AB 87 ,"* .#..""..",,,
16:59:19.022.788.900 086.140us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:19.022.875.060 086.160us,Tx,00 00 00 03 01 21 55 ,.....!U,,,
16:59:20.053.405.080 005.513ms,Tx,11 00 2A 2A 01 2B 10 13 ,..* * .+..,,,
16:59:20.053.491.200 086.120us,Tx,00 00 31 7D 01 FF 00 00 ,..1}....,,,
16:59:20.053.577.320 086.120us,Tx,3A 99 00 00 02 F6 00 00 ,:.......,,,
16:59:20.053.663.420 086.100us,Tx,2A 11 23 E0 9C 22 AB 87 ,"* .#..""..",,,
16:59:20.053.749.540 086.120us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:20.053.835.660 086.120us,Tx,00 00 00 03 01 ED 9E ,.......,,,
16:59:21.084.093.420 005.899ms,Tx,11 00 2A 2C 01 2D 10 13 ,"..* ,.-..",,,
16:59:21.084.179.540 086.120us,Tx,00 00 31 7E 01 FF 00 00 ,..1~....,,,
16:59:21.084.265.680 086.140us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
16:59:21.084.351.780 086.100us,Tx,00 03 23 E0 57 22 AB 8D ,"..#.W""..",,,
16:59:21.084.437.900 086.120us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:21.084.524.060 086.160us,Tx,00 00 00 03 01 C5 47 ,......G,,,
16:59:22.114.813.580 006.273ms,Tx,11 00 2A 2E 01 2F 10 13 ,..* ../..,,,
16:59:22.114.899.700 086.120us,Tx,00 00 31 7F 01 FF 00 00 ,..1.....,,,
16:59:22.114.985.820 086.120us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
16:59:22.115.071.940 086.120us,Tx,00 03 23 E0 57 22 AB 8D ,"..#.W""..",,,
16:59:22.115.158.040 086.100us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:22.115.244.160 086.120us,Tx,00 00 00 03 01 09 8C ,.......,,,
16:59:23.142.849.860 003.880ms,Tx,11 00 2A 30 01 31 10 13 ,..* 0.1..,,,
16:59:23.142.936.100 086.240us,Tx,00 00 31 80 01 FF 00 00 ,..1.....,,,
16:59:23.143.022.320 086.220us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
16:59:23.143.108.500 086.180us,Tx,00 03 23 E0 57 22 AB 8D ,"..#.W""..",,,
16:59:23.143.194.720 086.220us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:23.143.280.940 086.220us,Tx,00 00 00 03 01 5A E5 ,.....Z.,,,
16:59:24.173.234.160 003.880ms,Tx,11 00 2A 32 01 33 10 13 ,..* 2.3..,,,
16:59:24.173.320.320 086.160us,Tx,00 00 31 81 01 FF 00 00 ,..1.....,,,
16:59:24.173.406.460 086.140us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
16:59:24.173.492.620 086.160us,Tx,00 03 23 E0 57 22 AB 8D ,"..#.W""..",,,
16:59:24.173.578.780 086.160us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:24.173.664.960 086.180us,Tx,00 00 00 04 01 0F B9 ,.......,,,
16:59:25.203.522.280 003.943ms,Tx,11 00 2A 34 01 35 10 13 ,..* 4.5..,,,
16:59:25.203.608.380 086.100us,Tx,00 00 31 82 01 FF 00 00 ,..1.....,,,
16:59:25.203.694.480 086.100us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
16:59:25.203.780.580 086.100us,Tx,00 03 23 E0 57 22 AB 8D ,"..#.W""..",,,
16:59:25.203.866.700 086.120us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:25.203.952.800 086.100us,Tx,00 00 00 03 01 D3 52 ,......R,,,
16:59:26.234.263.740 004.139ms,Tx,11 00 2A 36 01 37 10 13 ,..* 6.7..,,,
16:59:26.234.349.820 086.080us,Tx,00 00 31 83 01 FF 00 00 ,..1.....,,,
16:59:26.234.435.880 086.060us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
16:59:26.234.521.960 086.080us,Tx,00 03 23 E0 57 22 AB 8D ,"..#.W""..",,,
16:59:26.234.608.060 086.100us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:26.234.694.160 086.100us,Tx,00 00 00 03 01 1F 99 ,.......,,,
16:59:27.264.946.700 004.326ms,Tx,11 00 2A 38 01 39 10 13 ,..* 8.9..,,,
16:59:27.265.032.840 086.140us,Tx,00 00 31 84 01 FF 00 00 ,..1.....,,,
16:59:27.265.119.000 086.160us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
16:59:27.265.205.160 086.160us,Tx,00 03 23 E0 57 22 AB 8D ,"..#.W""..",,,
16:59:27.265.291.320 086.160us,Tx,00 00 00 00 00 00 00 00 ,........,,,
16:59:27.265.377.500 086.180us,Tx,00 00 00 03 01 59 AA ,.....Y.,,,
16:59:28.295.805.240 004.717ms,Tx,11 00 2A 3A 01 3B 10 13 ,..* :.;..,,,
16:59:28.295.891.360 086.120us,Tx,00 00 31 85 01 FF 00 00 ,..1.....,,,
16:59:28.295.977.500 086.140us,Tx,3A 99 00 00 02 F7 00 00 ,:.......,,,
